type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
float,32,16,128,T,auto,4,1,0.00733,0.00722,0.0211,0.0188,39.1,39.7,0.9846,0.00e+00,0.00e+00,32,16,32,0,0
double,32,16,128,T,auto,8,1,0.00767,0.00791,0.0210,0.2173,74.8,72.5,1.0312,0.00e+00,0.00e+00,32,16,32,0,0
cdouble,32,16,128,T,auto,8,1,0.00696,0.00855,0.0180,0.0170,164.9,134.2,1.2284,0.00e+00,0.00e+00,32,16,32,1,0
float,32,4,512,T,auto,4,1,0.00744,0.00726,0.0199,0.0315,45.1,46.3,0.9758,0.00e+00,0.00e+00,32,4,32,0,0
double,32,4,512,T,auto,8,1,0.00641,0.00682,0.0414,0.0135,104.7,98.5,1.0628,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,32,4,512,T,auto,8,1,0.00688,0.00841,0.0081,0.0110,195.3,159.8,1.2222,0.00e+00,0.00e+00,32,4,32,1,0
float,32,2,512,T,auto,4,1,0.00613,0.00608,0.0182,0.0146,32.8,33.0,0.9918,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,8,1,0.00648,0.00639,0.0211,0.2090,62.0,62.8,0.9861,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,32,2,512,T,auto,8,1,0.00677,0.00711,0.0147,0.0119,118.5,113.0,1.0490,0.00e+00,0.00e+00,32,2,32,0,0
float,32,1,4096,T,auto,4,1,0.00626,0.00625,0.0152,0.0869,170.1,170.5,0.9979,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,4096,T,auto,8,1,0.00673,0.00778,0.0339,0.0175,316.6,273.8,1.1561,0.00e+00,0.00e+00,32,1,32,1,0
cdouble,32,1,4096,T,auto,8,1,0.00783,0.01141,0.0095,0.0096,544.3,373.2,1.4585,0.00e+00,0.00e+00,32,1,32,2,0
float,32,8,512,T,auto,4,1,0.00702,0.00704,0.0168,0.0140,86.3,86.1,1.0026,0.00e+00,0.00e+00,32,8,32,0,0
double,32,8,512,T,auto,8,1,0.00670,0.00784,0.0368,0.2179,180.9,154.7,1.1694,0.00e+00,0.00e+00,32,8,32,1,0
cdouble,32,8,512,T,auto,8,1,0.00752,0.01111,0.0097,0.0927,322.5,218.3,1.4778,0.00e+00,0.00e+00,32,8,32,2,0
float,32,32,512,T,auto,4,1,0.00788,0.00914,0.0186,0.1262,282.8,243.7,1.1603,0.00e+00,0.00e+00,32,32,32,2,0
double,32,32,512,T,auto,8,1,0.00774,0.01413,0.0160,0.1016,576.1,315.4,1.8265,0.00e+00,0.00e+00,32,32,32,4,0
cdouble,32,32,512,T,auto,8,1,0.01169,0.02598,0.0058,0.0604,762.3,343.0,2.2224,0.00e+00,0.00e+00,32,32,32,8,0
float,32,16,512,T,auto,4,1,0.00632,0.00692,0.0127,0.2428,181.5,165.8,1.0945,0.00e+00,0.00e+00,32,16,32,1,0
double,32,16,512,T,auto,8,1,0.00693,0.01029,0.1923,0.0259,330.9,222.8,1.4849,0.00e+00,0.00e+00,32,16,32,2,0
cdouble,32,16,512,T,auto,8,1,0.00984,0.01719,0.0118,0.0477,466.2,266.9,1.7471,0.00e+00,0.00e+00,32,16,32,4,0
float,32,64,128,T,auto,4,1,0.00645,0.00697,0.0500,0.0148,170.1,157.5,1.0801,0.00e+00,0.00e+00,32,64,32,1,0
double,32,64,128,T,auto,8,1,0.00691,0.01028,0.0843,0.3190,317.7,213.6,1.4873,0.00e+00,0.00e+00,32,64,32,2,0
cdouble,32,64,128,T,auto,8,1,0.00975,0.01693,0.0152,0.0216,450.3,259.4,1.7360,0.00e+00,0.00e+00,32,64,32,4,0
