type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,8,1,512,T,auto,1,1,0.00762,0.00769,0.0163,0.0264,18.3,18.1,1.0094,0.00e+00,0.00e+00,8,1,8,0,0
double,8,1,512,T,auto,1,1,0.00727,0.00747,0.0246,0.0275,9.6,9.3,1.0275,0.00e+00,0.00e+00,8,1,8,0,0
cfloat,8,1,512,T,auto,1,1,0.00752,0.00749,0.0209,0.0200,9.3,9.3,0.9963,0.00e+00,0.00e+00,8,1,8,0,0
float,8,1,512,T,auto,1,1,0.00743,0.00747,0.0142,0.0339,4.7,4.7,1.0050,0.00e+00,0.00e+00,8,1,8,0,0
cdouble,32,1,512,T,auto,1,1,0.00664,0.00664,0.0150,0.0143,80.2,80.2,0.9991,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,auto,1,1,0.00623,0.00615,0.0141,0.0132,42.8,43.3,0.9881,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,512,T,auto,1,1,0.00619,0.00621,0.0108,0.0140,43.0,42.9,1.0021,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,auto,1,1,0.00625,0.00621,0.1250,0.0147,21.3,21.4,0.9938,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,512,T,auto,1,1,0.00680,0.00680,0.0108,0.0148,155.3,155.4,0.9994,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,auto,1,1,0.00735,0.00736,0.0916,0.1083,71.9,71.8,1.0011,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,512,T,auto,1,1,0.00744,0.00742,0.0227,0.0242,71.0,71.2,0.9973,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,auto,1,1,0.00609,0.00614,0.0125,0.0201,43.4,43.0,1.0075,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,2,512,T,auto,1,1,0.00722,0.00723,0.0103,0.0092,111.3,111.0,1.0024,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,1,1,0.00635,0.00639,0.0132,0.0235,63.2,62.8,1.0072,0.00e+00,0.00e+00,32,2,32,0,0
cfloat,32,2,512,T,auto,1,1,0.00617,0.00613,0.0137,0.0195,65.0,65.4,0.9942,0.00e+00,0.00e+00,32,2,32,0,0
float,32,2,512,T,auto,1,1,0.00614,0.00607,0.0176,0.0124,32.7,33.1,0.9879,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,64,2,512,T,auto,1,1,0.00802,0.00801,0.0118,0.0160,198.2,198.4,0.9994,0.00e+00,0.00e+00,64,2,64,1,0
double,64,2,512,T,auto,1,1,0.00640,0.00653,0.0165,0.0136,124.2,121.7,1.0211,0.00e+00,0.00e+00,64,2,64,0,0
cfloat,64,2,512,T,auto,1,1,0.00624,0.00618,0.0210,0.0124,127.4,128.7,0.9905,0.00e+00,0.00e+00,64,2,64,0,0
float,64,2,512,T,auto,1,1,0.00619,0.00625,0.0199,0.0113,64.2,63.5,1.0100,0.00e+00,0.00e+00,64,2,64,0,0
cdouble,32,4,512,T,auto,8,1,0.00715,0.00873,0.0702,0.1856,188.0,153.9,1.2218,0.00e+00,0.00e+00,32,4,32,1,0
double,32,4,512,T,auto,8,1,0.00659,0.00688,0.0144,0.0059,101.9,97.7,1.0431,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,512,T,auto,1,1,0.00623,0.00626,0.0102,0.0213,107.9,107.3,1.0053,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,512,T,auto,1,1,0.00624,0.00622,0.0081,0.0144,53.8,54.0,0.9971,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,512,T,auto,1,1,0.00922,0.00922,0.0182,0.0435,288.0,288.0,1.0000,0.00e+00,0.00e+00,64,4,64,2,0
double,64,4,512,T,auto,1,1,0.00701,0.00710,0.0129,0.0953,189.3,187.0,1.0126,0.00e+00,0.00e+00,64,4,64,1,0
cfloat,64,4,512,T,auto,1,1,0.00831,0.00826,0.0546,0.0512,159.6,160.7,0.9934,0.00e+00,0.00e+00,64,4,64,1,0
float,64,4,512,T,auto,1,1,0.00615,0.00616,0.0130,0.0200,108.0,107.6,1.0031,0.00e+00,0.00e+00,64,4,64,0,0
cdouble,32,8,512,T,auto,8,1,0.00752,0.01112,0.0166,0.0042,322.3,218.1,1.4781,0.00e+00,0.00e+00,32,8,32,2,0
double,32,8,512,T,auto,8,1,0.00673,0.00783,0.0081,0.0099,180.1,154.7,1.1638,0.00e+00,0.00e+00,32,8,32,1,0
cfloat,32,8,512,T,auto,1,1,0.00649,0.00647,0.0135,0.0127,186.7,187.5,0.9958,0.00e+00,0.00e+00,32,8,32,1,0
float,32,8,512,T,auto,1,1,0.00627,0.00629,0.0133,0.0204,96.7,96.4,1.0034,0.00e+00,0.00e+00,32,8,32,0,0
cdouble,64,8,512,T,auto,1,1,0.01224,0.01221,0.0078,0.0070,390.9,391.8,0.9975,0.00e+00,0.00e+00,64,8,64,4,0
double,64,8,512,T,auto,1,1,0.00796,0.00804,0.0133,0.0143,300.7,297.6,1.0103,0.00e+00,0.00e+00,64,8,64,2,0
cfloat,64,8,512,T,auto,1,1,0.00657,0.00661,0.0092,0.0081,364.0,361.9,1.0056,0.00e+00,0.00e+00,64,8,64,2,0
float,64,8,512,T,auto,1,1,0.00622,0.00624,0.0119,0.0105,192.4,191.7,1.0034,0.00e+00,0.00e+00,64,8,64,1,0
cdouble,32,16,512,T,auto,8,1,0.00915,0.01643,0.0267,1.9467,501.5,279.2,1.7964,0.00e+00,0.00e+00,32,16,32,4,0
double,32,16,512,T,auto,8,1,0.00693,0.01029,0.0139,0.0103,330.8,222.8,1.4844,0.00e+00,0.00e+00,32,16,32,2,0
cfloat,32,16,512,T,auto,1,1,0.00730,0.00727,0.0079,0.0097,314.3,315.6,0.9958,0.00e+00,0.00e+00,32,16,32,2,0
float,32,16,512,T,auto,4,1,0.00646,0.00706,0.0133,0.0923,177.6,162.4,1.0937,0.00e+00,0.00e+00,32,16,32,1,0
cdouble,64,16,512,T,auto,4,1,0.01191,0.01826,0.0284,0.0052,759.7,495.2,1.5341,0.00e+00,0.00e+00,64,16,64,8,0
double,64,16,512,T,auto,1,1,0.01035,0.01038,0.1664,0.0120,436.7,435.5,1.0028,0.00e+00,0.00e+00,64,16,64,4,0
cfloat,64,16,512,T,auto,1,1,0.00738,0.00742,0.0115,0.2233,612.7,609.7,1.0050,0.00e+00,0.00e+00,64,16,64,4,0
float,64,16,512,T,auto,1,1,0.00703,0.00715,0.0156,0.0112,321.6,316.4,1.0165,0.00e+00,0.00e+00,64,16,64,2,0
cdouble,32,32,512,T,auto,8,1,0.01163,0.02595,0.0062,0.0022,766.2,343.4,2.2313,0.00e+00,0.00e+00,32,32,32,8,0
double,32,32,512,T,auto,8,1,0.00777,0.01411,0.0107,0.0138,573.6,315.9,1.8157,0.00e+00,0.00e+00,32,32,32,4,0
cfloat,32,32,512,T,auto,1,1,0.00841,0.00834,0.0155,0.0147,530.2,534.1,0.9926,0.00e+00,0.00e+00,32,32,32,4,0
float,32,32,512,T,auto,4,1,0.00685,0.00801,0.0086,0.0084,325.4,278.3,1.1691,0.00e+00,0.00e+00,32,32,32,2,0
cdouble,64,32,512,T,auto,4,1,0.01746,0.03004,0.0045,0.0038,1005.8,584.6,1.7204,0.00e+00,0.00e+00,64,32,64,16,0
double,64,32,512,T,auto,1,1,0.01428,0.01434,0.0050,0.0042,615.1,612.5,1.0042,0.00e+00,0.00e+00,64,32,64,8,0
cfloat,64,32,512,T,auto,1,1,0.00880,0.00873,0.0810,0.0126,998.3,1005.9,0.9924,0.00e+00,0.00e+00,64,32,64,8,0
float,64,32,512,T,auto,1,1,0.00805,0.00809,0.0131,0.0191,545.7,542.8,1.0055,0.00e+00,0.00e+00,64,32,64,4,0
cdouble,32,64,512,T,auto,8,1,0.01704,0.04571,0.0080,0.0034,1030.8,384.2,2.6826,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,T,auto,8,1,0.00982,0.02153,0.0093,0.0028,894.4,407.9,2.1927,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,T,auto,1,1,0.01079,0.01083,0.0072,0.0081,813.7,811.2,1.0032,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,T,auto,4,1,0.00752,0.01016,0.0143,0.0076,583.7,432.2,1.3504,0.00e+00,0.00e+00,32,64,32,4,0
