type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,8,1,512,T,auto,8,1,0.00613,0.00656,0.0216,0.0130,22.7,21.2,1.0707,0.00e+00,0.00e+00,8,1,8,0,0
double,8,1,512,T,auto,8,1,0.00597,0.00621,0.0158,0.0086,11.7,11.2,1.0403,0.00e+00,0.00e+00,8,1,8,0,0
cfloat,8,1,512,T,auto,8,1,0.00613,0.00637,0.0122,0.0195,11.4,10.9,1.0387,0.00e+00,0.00e+00,8,1,8,0,0
float,8,1,512,T,auto,8,1,0.00606,0.00640,0.0151,0.0172,5.7,5.4,1.0563,0.00e+00,0.00e+00,8,1,8,0,0
cdouble,32,1,512,T,auto,8,1,0.00681,0.00660,0.0105,0.0132,78.2,80.7,0.9700,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,auto,8,1,0.00709,0.00697,0.1105,0.0677,37.6,38.2,0.9828,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,512,T,auto,1,1,0.00612,0.00620,0.0177,0.0119,43.5,43.0,1.0132,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,auto,4,1,0.00598,0.00611,0.0266,0.0174,22.3,21.8,1.0216,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,512,T,auto,4,1,0.00698,0.00679,0.0118,0.0090,151.3,155.7,0.9718,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,auto,1,1,0.00624,0.00628,0.0079,0.0231,84.6,84.2,1.0056,0.00e+00,0.00e+00,64,1,64,0,0
cfloat,64,1,512,T,auto,1,1,0.00616,0.00614,0.0114,0.0217,85.8,86.1,0.9968,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,auto,1,1,0.00613,0.00611,0.0167,0.0119,43.1,43.3,0.9956,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,2,512,T,auto,8,1,0.00681,0.00721,0.0113,0.0159,118.0,111.4,1.0592,0.00e+00,0.00e+00,32,2,32,0,0
double,32,2,512,T,auto,8,1,0.00643,0.00629,0.0161,0.1492,62.4,63.8,0.9782,0.00e+00,0.00e+00,32,2,32,0,0
cfloat,32,2,512,T,auto,1,1,0.00614,0.00618,0.1305,0.0147,65.4,65.0,1.0067,0.00e+00,0.00e+00,32,2,32,0,0
float,32,2,512,T,auto,4,1,0.00607,0.00611,0.0180,0.0124,33.1,32.8,1.0064,0.00e+00,0.00e+00,32,2,32,0,0
cdouble,64,2,512,T,auto,4,1,0.00694,0.00742,0.0104,0.0091,229.1,214.2,1.0696,0.00e+00,0.00e+00,64,2,64,1,0
double,64,2,512,T,auto,1,1,0.00639,0.00636,0.0140,0.0177,124.3,124.9,0.9956,0.00e+00,0.00e+00,64,2,64,0,0
cfloat,64,2,512,T,auto,1,1,0.00617,0.00617,0.0123,0.0080,128.7,128.7,1.0003,0.00e+00,0.00e+00,64,2,64,0,0
float,64,2,512,T,auto,1,1,0.00604,0.00601,0.0137,0.0132,65.8,66.2,0.9949,0.00e+00,0.00e+00,64,2,64,0,0
cdouble,32,4,512,T,auto,8,1,0.00690,0.00844,0.0099,0.0132,194.8,159.1,1.2243,0.00e+00,0.00e+00,32,4,32,1,0
double,32,4,512,T,auto,8,1,0.00654,0.00674,0.0116,0.0189,102.7,99.6,1.0309,0.00e+00,0.00e+00,32,4,32,0,0
cfloat,32,4,512,T,auto,1,1,0.00627,0.00628,0.0108,0.0151,107.2,106.9,1.0027,0.00e+00,0.00e+00,32,4,32,0,0
float,32,4,512,T,auto,4,1,0.00626,0.00617,0.0121,0.0124,53.7,54.4,0.9864,0.00e+00,0.00e+00,32,4,32,0,0
cdouble,64,4,512,T,auto,4,1,0.00748,0.00906,0.0063,0.0091,354.9,292.8,1.2121,0.00e+00,0.00e+00,64,4,64,2,0
double,64,4,512,T,auto,1,1,0.00695,0.00692,0.0135,0.0169,191.1,191.9,0.9955,0.00e+00,0.00e+00,64,4,64,1,0
cfloat,64,4,512,T,auto,1,1,0.00630,0.00626,0.0141,0.0148,210.7,212.0,0.9940,0.00e+00,0.00e+00,64,4,64,1,0
float,64,4,512,T,auto,1,1,0.00610,0.00615,0.0136,0.0081,108.8,107.8,1.0087,0.00e+00,0.00e+00,64,4,64,0,0
cdouble,32,8,512,T,auto,8,1,0.00753,0.01117,0.0101,0.0117,321.9,217.1,1.4827,0.00e+00,0.00e+00,32,8,32,2,0
double,32,8,512,T,auto,8,1,0.00673,0.00781,0.0080,0.0099,180.3,155.2,1.1612,0.00e+00,0.00e+00,32,8,32,1,0
cfloat,32,8,512,T,auto,1,1,0.00639,0.00630,0.0184,0.0209,189.8,192.3,0.9869,0.00e+00,0.00e+00,32,8,32,1,0
float,32,8,512,T,auto,4,1,0.00627,0.00630,0.0086,0.0122,96.6,96.1,1.0049,0.00e+00,0.00e+00,32,8,32,0,0
cdouble,64,8,512,T,auto,4,1,0.00895,0.01218,0.0134,0.0061,534.4,392.7,1.3608,0.00e+00,0.00e+00,64,8,64,4,0
double,64,8,512,T,auto,1,1,0.00792,0.00807,0.0136,0.0884,302.2,296.5,1.0193,0.00e+00,0.00e+00,64,8,64,2,0
cfloat,64,8,512,T,auto,1,1,0.00658,0.00655,0.0138,0.0245,363.4,365.0,0.9956,0.00e+00,0.00e+00,64,8,64,2,0
float,64,8,512,T,auto,1,1,0.00629,0.00632,0.0104,0.0115,190.1,189.2,1.0046,0.00e+00,0.00e+00,64,8,64,1,0
cdouble,32,16,512,T,auto,8,1,0.00870,0.01604,0.0106,0.0040,527.0,285.9,1.8431,0.00e+00,0.00e+00,32,16,32,4,0
double,32,16,512,T,auto,8,1,0.00696,0.01015,0.0165,0.0206,329.6,226.0,1.4585,0.00e+00,0.00e+00,32,16,32,2,0
cfloat,32,16,512,T,auto,1,1,0.00719,0.00719,0.0178,0.0200,319.0,319.2,0.9993,0.00e+00,0.00e+00,32,16,32,2,0
float,32,16,512,T,auto,4,1,0.00639,0.00694,0.0108,0.0077,179.5,165.2,1.0865,0.00e+00,0.00e+00,32,16,32,1,0
cdouble,64,16,512,T,auto,4,1,0.01199,0.01838,0.0082,0.0108,754.4,491.9,1.5335,0.00e+00,0.00e+00,64,16,64,8,0
double,64,16,512,T,auto,1,1,0.01032,0.01037,0.0090,0.0067,438.1,436.1,1.0046,0.00e+00,0.00e+00,64,16,64,4,0
cfloat,64,16,512,T,auto,1,1,0.00731,0.00748,0.0106,0.0745,618.3,604.6,1.0227,0.00e+00,0.00e+00,64,16,64,4,0
float,64,16,512,T,auto,1,1,0.00697,0.00702,0.0153,0.0145,324.5,322.2,1.0072,0.00e+00,0.00e+00,64,16,64,2,0
cdouble,32,32,512,T,auto,8,1,0.01166,0.02604,0.0087,0.0062,764.3,342.2,2.2333,0.00e+00,0.00e+00,32,32,32,8,0
double,32,32,512,T,auto,8,1,0.00776,0.01403,0.0108,0.0128,574.1,317.6,1.8077,0.00e+00,0.00e+00,32,32,32,4,0
cfloat,32,32,512,T,auto,1,1,0.00848,0.00847,0.0121,0.0101,525.7,526.1,0.9993,0.00e+00,0.00e+00,32,32,32,4,0
float,32,32,512,T,auto,4,1,0.00668,0.00788,0.0166,0.0110,333.8,282.9,1.1797,0.00e+00,0.00e+00,32,32,32,2,0
cdouble,64,32,512,T,auto,4,1,0.01752,0.03009,0.0251,0.0035,1002.3,583.8,1.7168,0.00e+00,0.00e+00,64,32,64,16,0
double,64,32,512,T,auto,1,1,0.01411,0.01421,0.0094,0.0072,622.3,618.2,1.0066,0.00e+00,0.00e+00,64,32,64,8,0
cfloat,64,32,512,T,auto,1,1,0.00862,0.00869,0.0077,0.0164,1018.4,1010.8,1.0075,0.00e+00,0.00e+00,64,32,64,8,0
float,64,32,512,T,auto,1,1,0.00782,0.00790,0.0085,0.0081,561.2,555.5,1.0102,0.00e+00,0.00e+00,64,32,64,4,0
cdouble,32,64,512,T,auto,8,1,0.01692,0.04569,0.0186,0.0030,1038.1,384.5,2.7002,0.00e+00,0.00e+00,32,64,32,16,0
double,32,64,512,T,auto,8,1,0.00986,0.02154,0.0417,0.0034,890.7,407.7,2.1845,0.00e+00,0.00e+00,32,64,32,8,0
cfloat,32,64,512,T,auto,1,1,0.01077,0.01078,0.0073,0.0580,815.5,814.9,1.0007,0.00e+00,0.00e+00,32,64,32,8,0
float,32,64,512,T,auto,4,1,0.00755,0.01025,0.0122,0.0106,581.6,428.3,1.3579,0.00e+00,0.00e+00,32,64,32,4,0
cdouble,64,64,512,T,auto,4,1,0.02885,0.05410,0.0036,0.0020,1199.2,639.6,1.8749,0.00e+00,0.00e+00,64,64,64,32,0
double,64,64,512,T,auto,1,1,0.02189,0.02185,0.0038,0.0067,790.5,791.9,0.9983,0.00e+00,0.00e+00,64,64,64,16,0
cfloat,64,64,512,T,auto,1,1,0.01141,0.01135,0.0080,0.0142,1515.7,1523.8,0.9947,0.00e+00,0.00e+00,64,64,64,16,0
float,64,64,512,T,auto,1,1,0.01013,0.01007,0.0127,0.0863,854.4,858.9,0.9948,0.00e+00,0.00e+00,64,64,64,8,0
cdouble,32,1,128,T,auto,8,1,0.00683,0.00609,0.0122,0.0157,19.5,21.9,0.8908,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,auto,8,1,0.00631,0.00598,0.0214,0.0169,10.5,11.1,0.9477,0.00e+00,0.00e+00,32,1,32,0,0
cfloat,32,1,128,T,auto,1,1,0.00594,0.00594,0.0137,0.2570,11.2,11.2,1.0015,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,auto,4,1,0.00589,0.00584,0.0159,0.0758,5.6,5.7,0.9915,0.00e+00,0.00e+00,32,1,32,0,0
