type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,32,1,128,T,2,2,1,0.00755,0.00729,0.0192,0.0210,17.6,18.3,0.9655,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,1,128,T,4,4,1,0.00767,0.00737,0.0171,0.0228,17.4,18.1,0.9615,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,1,128,T,8,8,1,0.00779,0.00718,0.0203,0.0230,17.1,18.5,0.9213,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,2,2,1,0.00711,0.00709,0.0167,0.0170,9.4,9.4,0.9970,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,4,4,1,0.00618,0.00598,0.0672,0.0116,10.8,11.1,0.9672,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,128,T,8,8,1,0.00634,0.00600,0.0212,0.0119,10.5,11.1,0.9472,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,2,2,1,0.00591,0.00584,0.0114,0.0114,5.6,5.7,0.9875,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,4,4,1,0.00606,0.00600,0.0107,0.0121,5.5,5.5,0.9894,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,128,T,8,8,1,0.00712,0.00700,0.0256,0.0313,4.7,4.8,0.9844,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,128,T,2,2,1,0.00652,0.00624,0.0073,0.0130,40.5,42.3,0.9569,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,64,1,128,T,4,4,1,0.00680,0.00618,0.0095,0.0139,38.9,42.8,0.9084,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,64,1,128,T,8,8,1,0.00769,0.00622,0.0129,0.0119,34.4,42.5,0.8087,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,128,T,2,2,1,0.00613,0.00596,0.0178,0.0152,21.6,22.2,0.9728,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,128,T,4,4,1,0.00632,0.00595,0.0085,0.0205,20.9,22.2,0.9402,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,128,T,8,8,1,0.00778,0.00704,0.0190,0.0298,17.0,18.8,0.9054,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,128,T,2,2,1,0.00718,0.00710,0.0172,0.0264,9.2,9.3,0.9890,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,128,T,4,4,1,0.01494,0.01422,0.1966,0.3421,4.4,4.6,0.9521,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,128,T,8,8,1,0.00776,0.00730,0.0096,0.0178,8.5,9.0,0.9406,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,32,1,512,T,2,2,1,0.00633,0.00652,0.0088,0.0141,84.1,81.6,1.0303,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,1,512,T,4,4,1,0.00648,0.00651,0.0115,0.0158,82.1,81.7,1.0051,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,32,1,512,T,8,8,1,0.00677,0.00652,0.0154,0.0771,78.6,81.7,0.9621,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,2,2,1,0.00624,0.00627,0.0120,0.0132,42.6,42.5,1.0040,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,4,4,1,0.00617,0.00626,0.0088,0.0142,43.1,42.6,1.0136,0.00e+00,0.00e+00,32,1,32,0,0
double,32,1,512,T,8,8,1,0.00629,0.00619,0.0107,0.0196,42.3,43.0,0.9852,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,2,2,1,0.00599,0.00610,0.0165,0.0204,22.2,21.8,1.0175,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,4,4,1,0.00590,0.00607,0.0127,0.2480,22.6,21.9,1.0288,0.00e+00,0.00e+00,32,1,32,0,0
float,32,1,512,T,8,8,1,0.00617,0.00613,0.0091,0.0115,21.6,21.7,0.9935,0.00e+00,0.00e+00,32,1,32,0,0
cdouble,64,1,512,T,2,2,1,0.00664,0.00674,0.0147,0.0084,159.2,156.8,1.0155,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,64,1,512,T,4,4,1,0.00693,0.00675,0.0118,0.0123,152.5,156.6,0.9742,0.00e+00,0.00e+00,64,1,64,0,0
cdouble,64,1,512,T,8,8,1,0.00767,0.00668,0.0107,0.0249,137.8,158.2,0.8711,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,2,2,1,0.00624,0.00627,0.0130,0.0147,84.7,84.3,1.0048,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,4,4,1,0.00632,0.00630,0.0129,0.0122,83.6,83.9,0.9972,0.00e+00,0.00e+00,64,1,64,0,0
double,64,1,512,T,8,8,1,0.00676,0.00630,0.0106,0.0125,78.1,83.8,0.9320,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,2,2,1,0.00618,0.00624,0.0098,0.0107,42.8,42.3,1.0110,0.00e+00,0.00e+00,64,1,64,0,0
float,64,1,512,T,4,4,1,0.00615,0.00618,0.0103,0.0158,43.0,42.7,1.0057,0.00e+00,0.00e+00,64,1,64,0,0
