arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,MB,foreign
native:cta,float,32,2048,512,T,native:cta,0.16608,0.16616,0.0017,833.8,0.878,0.00e+00,32,2048,32,128,0
native:cta,double,32,2048,512,T,native:cta,0.50588,0.50593,0.0008,547.5,0.576,0.00e+00,32,2048,32,256,0
native:cta,cfloat,32,2048,512,T,native:cta,0.30064,0.30073,0.0009,921.2,0.970,0.00e+00,32,2048,32,256,0
native:cta,cdouble,32,2048,512,T,native:cta,1.27492,1.27564,0.0021,434.5,0.457,0.00e+00,32,2048,32,512,0
native:cta,float,64,2048,512,T,native:cta,0.29514,0.29514,0.0009,924.2,0.973,0.00e+00,64,2048,64,256,0
native:cta,double,64,2048,512,T,native:cta,0.58746,0.58729,0.0013,928.6,0.977,0.00e+00,64,2048,64,512,0
native:cta,cfloat,64,2048,512,T,native:cta,0.58948,0.58943,0.0009,925.4,0.974,0.00e+00,64,2048,64,512,0
native:cta,cdouble,64,2048,512,T,native:cta,1.53996,1.54001,0.0005,708.5,0.746,0.00e+00,64,2048,64,1024,0
native:cta,float,128,2048,512,T,native:cta,0.58143,0.58146,0.0006,931.0,0.980,0.00e+00,128,2048,128,512,0
native:cta,double,128,2048,512,T,native:cta,1.16136,1.16127,0.0009,932.2,0.981,0.00e+00,128,2048,128,1024,0
native:cta,cfloat,128,2048,512,T,native:cta,1.16072,1.16077,0.0005,932.7,0.982,0.00e+00,128,2048,128,1024,0
native:cta,cdouble,128,2048,512,T,native:cta,2.32200,2.32244,0.0004,932.5,0.982,0.00e+00,128,2048,128,2048,0
native:cta,float,2048,2048,128,T,native:cta,2.25721,2.26825,0.0104,952.3,1.002,0.00e+00,2048,2048,2048,2048,0
native:cta,double,2048,2048,128,T,native:cta,4.50739,4.50777,0.0005,953.8,1.004,0.00e+00,2048,2048,2048,4096,0
native:cta,cfloat,2048,2048,128,T,native:cta,4.50659,4.50658,0.0002,954.0,1.004,0.00e+00,2048,2048,2048,4096,0
native:cta,cdouble,2048,2048,128,T,native:cta,9.02979,9.02987,0.0003,952.2,1.002,0.00e+00,2048,2048,2048,8192,0
native:cta,float,64,64,512,T,native:cta,0.01010,0.01011,0.0088,856.8,0.902,0.00e+00,64,64,64,8,0
native:cta,double,64,64,512,T,native:cta,0.02164,0.02169,0.0066,799.5,0.842,0.00e+00,64,64,64,16,0
native:cta,cfloat,64,64,512,T,native:cta,0.01132,0.01131,0.0084,1528.3,1.609,0.00e+00,64,64,64,16,0
native:cta,cdouble,64,64,512,T,native:cta,0.05493,0.05495,0.0037,630.0,0.663,0.00e+00,64,64,64,32,0
native:cta,float,128,128,512,T,native:cta,0.01731,0.01729,0.0052,1969.2,2.073,0.00e+00,128,128,128,32,0
native:cta,double,128,128,512,T,native:cta,0.05090,0.05084,0.0028,1339.0,1.410,0.00e+00,128,128,128,64,0
native:cta,cfloat,128,128,512,T,native:cta,0.02195,0.02223,0.0471,3104.4,3.268,0.00e+00,128,128,128,64,0
native:cta,cdouble,128,128,512,T,native:cta,0.15873,0.15884,0.0023,858.8,0.904,0.00e+00,128,128,128,128,0
