type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
cdouble,1,2048,512,T,2,2,1,0.58140,1.26327,0.0037,0.0003,57.7,26.6,2.1728,0.00e+00,0.00e+00,1,2048,1,16,0
cdouble,1,2048,512,T,4,4,1,0.26758,1.26332,0.0011,0.0005,125.4,26.6,4.7214,0.00e+00,0.00e+00,1,2048,1,16,0
cdouble,1,2048,512,T,8,8,1,0.12505,1.26765,0.4177,0.0689,268.4,26.5,10.1374,0.00e+00,0.00e+00,1,2048,1,16,0
double,1,2048,512,T,2,2,1,0.22872,0.50408,0.0009,0.0003,73.4,33.3,2.2040,0.00e+00,0.00e+00,1,2048,1,8,0
double,1,2048,512,T,4,4,1,0.10436,0.50429,0.0012,0.0004,160.8,33.3,4.8323,0.00e+00,0.00e+00,1,2048,1,8,0
double,1,2048,512,T,8,8,1,0.04904,0.50460,0.0055,0.0076,342.2,33.3,10.2901,0.00e+00,0.00e+00,1,2048,1,8,0
cfloat,1,2048,512,T,2,2,1,0.08844,0.16007,0.0052,0.0025,189.8,104.8,1.8099,0.00e+00,0.00e+00,1,2048,1,8,0
cfloat,1,2048,512,T,4,4,1,0.04652,0.16012,0.0018,0.0008,360.7,104.8,3.4416,0.00e+00,0.00e+00,1,2048,1,8,0
cfloat,1,2048,512,T,8,8,1,0.02652,0.16035,0.1644,0.0008,632.9,104.7,6.0475,0.00e+00,0.00e+00,1,2048,1,8,0
float,1,2048,512,T,2,2,1,0.07986,0.14142,0.0015,0.0013,105.1,59.3,1.7708,0.00e+00,0.00e+00,1,2048,1,4,0
float,1,2048,512,T,4,4,1,0.04196,0.14103,0.0018,0.0008,199.9,59.5,3.3608,0.00e+00,0.00e+00,1,2048,1,4,0
float,1,2048,512,T,8,8,1,0.02401,0.14144,0.0042,0.0008,349.5,59.3,5.8908,0.00e+00,0.00e+00,1,2048,1,4,0
cdouble,2,2048,512,T,2,2,1,0.58257,1.26756,0.0009,0.0002,86.4,39.7,2.1758,0.00e+00,0.00e+00,2,2048,2,32,0
cdouble,2,2048,512,T,4,4,1,0.26734,1.26678,0.0009,0.0002,188.3,39.7,4.7385,0.00e+00,0.00e+00,2,2048,2,32,0
cdouble,2,2048,512,T,8,8,1,0.12501,1.26808,0.0419,0.0021,402.7,39.7,10.1435,0.00e+00,0.00e+00,2,2048,2,32,0
double,2,2048,512,T,2,2,1,0.22805,0.50330,0.0119,0.0033,110.4,50.0,2.2070,0.00e+00,0.00e+00,2,2048,2,16,0
double,2,2048,512,T,4,4,1,0.10487,0.50492,0.2004,0.0556,240.1,49.9,4.8148,0.00e+00,0.00e+00,2,2048,2,16,0
double,2,2048,512,T,8,8,1,0.04905,0.50429,0.0040,0.0012,513.2,49.9,10.2803,0.00e+00,0.00e+00,2,2048,2,16,0
cfloat,2,2048,512,T,2,2,1,0.08882,0.16064,0.0039,0.0010,283.4,156.7,1.8086,0.00e+00,0.00e+00,2,2048,2,16,0
cfloat,2,2048,512,T,4,4,1,0.04565,0.15980,0.0026,0.0011,551.4,157.5,3.5003,0.00e+00,0.00e+00,2,2048,2,16,0
cfloat,2,2048,512,T,8,8,1,0.02554,0.15971,0.0036,0.0010,985.8,157.6,6.2541,0.00e+00,0.00e+00,2,2048,2,16,0
float,2,2048,512,T,2,2,1,0.07989,0.14112,0.0020,0.0033,157.5,89.2,1.7664,0.00e+00,0.00e+00,2,2048,2,8,0
float,2,2048,512,T,4,4,1,0.04235,0.14146,0.0030,0.0010,297.2,89.0,3.3399,0.00e+00,0.00e+00,2,2048,2,8,0
float,2,2048,512,T,8,8,1,0.02402,0.14122,0.0044,0.0007,524.1,89.1,5.8802,0.00e+00,0.00e+00,2,2048,2,8,0
cdouble,4,2048,512,T,2,2,1,0.58550,1.27093,0.0014,0.0007,143.3,66.0,2.1707,0.00e+00,0.00e+00,4,2048,4,64,0
cdouble,4,2048,512,T,4,4,1,0.26927,1.27016,0.0018,0.0004,311.7,66.1,4.7170,0.00e+00,0.00e+00,4,2048,4,64,0
cdouble,4,2048,512,T,8,8,1,0.12521,1.26926,0.0022,0.0006,670.2,66.1,10.1367,0.00e+00,0.00e+00,4,2048,4,64,0
double,4,2048,512,T,2,2,1,0.22841,0.50415,0.0009,0.0006,183.7,83.2,2.2072,0.00e+00,0.00e+00,4,2048,4,32,0
double,4,2048,512,T,4,4,1,0.10358,0.50418,0.0010,0.0007,405.1,83.2,4.8675,0.00e+00,0.00e+00,4,2048,4,32,0
double,4,2048,512,T,8,8,1,0.04798,0.50425,0.0034,0.0004,874.5,83.2,10.5094,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,T,2,2,1,0.08800,0.16012,0.0013,0.0021,476.8,262.0,1.8195,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,T,4,4,1,0.04566,0.16023,0.0019,0.0012,918.9,261.9,3.5089,0.00e+00,0.00e+00,4,2048,4,32,0
cfloat,4,2048,512,T,8,8,1,0.02553,0.16062,0.0034,0.0054,1643.4,261.2,6.2909,0.00e+00,0.00e+00,4,2048,4,32,0
float,4,2048,512,T,2,2,1,0.08124,0.14285,0.0010,0.0012,258.2,146.9,1.7583,0.00e+00,0.00e+00,4,2048,4,16,0
float,4,2048,512,T,4,4,1,0.04252,0.14184,0.0041,0.0008,493.4,147.9,3.3355,0.00e+00,0.00e+00,4,2048,4,16,0
float,4,2048,512,T,8,8,1,0.02511,0.14286,0.0052,0.0011,835.3,146.9,5.6881,0.00e+00,0.00e+00,4,2048,4,16,0
cdouble,8,2048,512,T,2,2,1,0.58792,1.27167,0.1436,0.0594,256.9,118.8,2.1630,0.00e+00,0.00e+00,8,2048,8,128,0
cdouble,8,2048,512,T,4,4,1,0.27042,1.27122,0.0024,0.0007,558.6,118.8,4.7010,0.00e+00,0.00e+00,8,2048,8,128,0
cdouble,8,2048,512,T,8,8,1,0.17322,1.27011,0.4919,0.0265,872.1,118.9,7.3322,0.00e+00,0.00e+00,8,2048,8,128,0
double,8,2048,512,T,2,2,1,0.22945,0.50412,0.0017,0.0014,329.2,149.8,2.1971,0.00e+00,0.00e+00,8,2048,8,64,0
double,8,2048,512,T,4,4,1,0.10411,0.50435,0.0019,0.0006,725.5,149.8,4.8446,0.00e+00,0.00e+00,8,2048,8,64,0
double,8,2048,512,T,8,8,1,0.05095,0.50425,0.0261,0.0012,1482.4,149.8,9.8965,0.00e+00,0.00e+00,8,2048,8,64,0
cfloat,8,2048,512,T,2,2,1,0.09222,0.16776,0.0031,0.0007,819.0,450.2,1.8190,0.00e+00,0.00e+00,8,2048,8,64,0
