type,n,batch,armA,armB,modeA,modeB,A_ms,B_ms,ratio,relsdA,relsdB,resA,resB,bitdiff,route,ntpiv,flag,foreign
float,256,256,inloop,defer_walk,0,1,2.0387,2.4930,0.8178,0.0776,0.0254,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,1024,inloop,defer_walk,0,1,13.9816,12.4158,1.1261,0.0236,0.0206,4.916e-07,4.916e-07,0,native:blocked,249,ok,0
float,512,128,inloop,defer_walk,0,1,6.1747,8.6923,0.7104,0.0285,0.0183,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,512,inloop,defer_walk,0,1,41.1653,32.9589,1.2490,0.0057,0.0024,3.975e-07,3.975e-07,0,native:blocked,502,ok,0
float,512,1024,inloop,defer_walk,0,1,90.7065,70.8199,1.2808,0.0009,0.0015,4.508e-07,4.508e-07,0,native:blocked,502,ok,0
float,1024,128,inloop,defer_walk,0,1,47.1939,51.5340,0.9158,0.0009,0.0011,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,512,inloop,defer_walk,0,1,244.4123,185.7724,1.3157,0.0014,0.0018,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,2048,128,inloop,defer_walk,0,1,305.8036,292.6848,1.0448,0.0011,0.0009,7.106e-07,7.106e-07,0,native:blocked,2041,ok,0
double,512,512,inloop,defer_walk,0,1,92.4195,79.6603,1.1602,0.0024,0.0023,3.494e-15,3.494e-15,0,native:blocked,502,ok,0
cfloat,512,512,inloop,defer_walk,0,1,64.4339,54.4679,1.1830,0.0022,0.0039,3.955e-07,3.955e-07,0,native:blocked,502,ok,0
cdouble,512,256,inloop,defer_walk,0,1,113.6043,112.9569,1.0057,0.0014,0.0023,2.876e-15,2.876e-15,0,native:blocked,502,ok,0
