type,n,batch,armA,armB,modeA,modeB,A_ms,B_ms,ratio,relsdA,relsdB,resA,resB,bitdiff,route,ntpiv,flag,foreign
float,128,128,inloop,defer_gather,0,2,0.2457,0.2459,0.9991,0.0565,0.0083,6.240e-07,6.240e-07,0,native:cta,125,ok,0
float,128,256,inloop,defer_gather,0,2,0.4800,0.4799,1.0001,0.1743,0.0044,3.455e-07,3.455e-07,0,native:cta,125,ok,0
float,128,512,inloop,defer_gather,0,2,0.9470,0.9465,1.0005,0.0240,0.0012,5.533e-07,5.533e-07,0,native:cta,125,ok,0
float,128,1024,inloop,defer_gather,0,2,1.9521,1.9520,1.0001,0.0111,0.0294,6.162e-07,6.162e-07,0,native:cta,125,ok,0
float,256,128,inloop,defer_gather,0,2,1.2789,1.0088,1.2677,0.0165,0.0519,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,256,inloop,defer_gather,0,2,2.0804,1.6379,1.2702,0.0176,0.0485,3.078e-07,3.078e-07,0,native:blocked,249,ok,0
float,256,512,inloop,defer_gather,0,2,4.9109,3.8882,1.2630,0.0399,0.0146,3.692e-07,3.692e-07,0,native:blocked,249,ok,0
float,256,1024,inloop,defer_gather,0,2,13.8336,10.7919,1.2819,0.0204,0.0233,4.916e-07,4.916e-07,0,native:blocked,249,ok,0
float,512,128,inloop,defer_gather,0,2,6.1618,4.7204,1.3054,0.0367,0.0175,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,256,inloop,defer_gather,0,2,15.4389,11.4771,1.3452,0.0146,0.0223,3.750e-07,3.750e-07,0,native:blocked,502,ok,0
float,512,512,inloop,defer_gather,0,2,40.7930,28.8197,1.4155,0.0051,0.0065,3.975e-07,3.975e-07,0,native:blocked,502,ok,0
float,512,1024,inloop,defer_gather,0,2,91.1920,62.9067,1.4496,0.0036,0.0029,4.508e-07,4.508e-07,0,native:blocked,502,ok,0
float,1024,128,inloop,defer_gather,0,2,47.5786,34.5055,1.3789,0.0056,0.0007,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,256,inloop,defer_gather,0,2,114.3223,78.9536,1.4480,0.0031,0.0032,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,1024,512,inloop,defer_gather,0,2,244.5557,167.9563,1.4561,0.0015,0.0011,6.903e-07,6.903e-07,0,native:blocked,1016,ok,0
float,2048,128,inloop,defer_gather,0,2,305.4638,223.7417,1.3653,0.0011,0.0010,7.106e-07,7.106e-07,0,native:blocked,2041,ok,0
double,128,128,inloop,defer_gather,0,2,0.9795,0.8831,1.1091,0.0505,0.0007,1.519e-15,1.519e-15,0,native:blocked,125,ok,0
double,128,256,inloop,defer_gather,0,2,1.5908,1.4842,1.0718,0.0322,0.0008,1.142e-15,1.142e-15,0,native:blocked,125,ok,0
double,128,512,inloop,defer_gather,0,2,3.2436,3.0818,1.0525,0.0301,0.0009,9.874e-16,9.874e-16,0,native:blocked,125,ok,0
double,128,1024,inloop,defer_gather,0,2,6.9476,6.5630,1.0586,0.0260,0.0273,1.092e-15,1.092e-15,0,native:blocked,125,ok,0
double,256,128,inloop,defer_gather,0,2,3.4290,3.1400,1.0920,0.0227,0.0179,1.855e-15,1.855e-15,0,native:blocked,249,ok,0
double,256,256,inloop,defer_gather,0,2,6.9657,6.3371,1.0992,0.0262,0.0321,2.938e-15,2.938e-15,0,native:blocked,249,ok,0
double,256,512,inloop,defer_gather,0,2,15.5402,14.1208,1.1005,0.0152,0.0187,3.021e-15,3.021e-15,0,native:blocked,249,ok,0
double,256,1024,inloop,defer_gather,0,2,36.1472,30.5915,1.1816,0.0036,0.0047,1.980e-15,1.980e-15,0,native:blocked,249,ok,0
double,512,128,inloop,defer_gather,0,2,19.6331,16.6103,1.1820,0.0111,0.0150,3.311e-15,3.311e-15,0,native:blocked,502,ok,0
double,512,256,inloop,defer_gather,0,2,41.3930,35.2218,1.1752,0.0045,0.0030,3.050e-15,3.050e-15,0,native:blocked,502,ok,0
double,512,512,inloop,defer_gather,0,2,92.3163,74.9143,1.2323,0.0028,0.0031,3.494e-15,3.494e-15,0,native:blocked,502,ok,0
double,512,1024,inloop,defer_gather,0,2,191.0530,153.4442,1.2451,0.0016,0.0021,3.903e-15,3.903e-15,0,native:blocked,502,ok,0
double,1024,128,inloop,defer_gather,0,2,122.7530,105.9761,1.1583,0.0014,0.0010,5.008e-15,5.008e-15,0,native:blocked,1016,ok,0
double,1024,256,inloop,defer_gather,0,2,260.8375,219.2569,1.1896,0.0008,0.0007,5.917e-15,5.917e-15,0,native:blocked,1016,ok,0
double,1024,512,inloop,defer_gather,0,2,545.0166,457.5490,1.1912,0.0014,0.0011,4.588e-15,4.588e-15,0,native:blocked,1016,ok,0
double,2048,128,inloop,defer_gather,0,2,820.9338,729.9773,1.1246,0.0009,0.0008,1.123e-14,1.123e-14,0,native:blocked,2041,ok,0
