op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,float,128,1,128,0.2438,0.2439,0.0009,734.16,7.568e-07,4608,native:cta,0,122,0,0,ok,0
getrf,float,128,1,256,0.4787,0.4790,0.0027,747.71,6.818e-07,9216,native:cta,0,119,0,0,ok,0
getrf,float,128,1,512,0.9503,0.9500,0.0008,753.30,5.169e-07,18432,native:cta,0,116,0,0,ok,0
getrf,float,128,1,1024,1.9589,1.9588,0.0004,730.85,9.683e-07,36864,native:cta,0,124,0,0,ok,0
getrf,float,256,1,128,1.0079,1.0077,0.0022,1420.39,3.078e-07,4608,native:blocked,0,246,0,0,ok,0
getrf,float,256,1,256,1.5950,1.5978,0.0048,1795.22,3.078e-07,9216,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,512,3.9062,3.9294,0.0109,1466.03,3.763e-07,18432,native:blocked,0,251,0,0,ok,0
getrf,float,256,1,1024,11.1364,11.1109,0.0044,1028.45,3.078e-07,36864,native:blocked,0,249,0,0,ok,0
getrf,float,512,1,128,4.7552,4.7687,0.0083,2408.58,3.750e-07,4608,native:blocked,0,503,0,0,ok,0
getrf,float,512,1,256,11.5431,11.5369,0.0060,1984.43,5.192e-07,9216,native:blocked,0,504,0,0,ok,0
getrf,float,512,1,512,28.5999,28.5923,0.0020,1601.86,3.750e-07,18432,native:blocked,0,505,0,0,ok,0
getrf,float,512,1,1024,62.0960,62.0957,0.0013,1475.55,4.485e-07,36864,native:blocked,0,504,0,0,ok,0
getrf,float,1024,1,128,34.3429,34.3355,0.0009,2667.98,6.903e-07,4608,native:blocked,0,1019,0,0,ok,0
getrf,float,1024,1,256,78.3359,78.3660,0.0017,2339.31,6.903e-07,9216,native:blocked,0,1014,0,0,ok,0
getrf,float,1024,1,512,166.6955,166.6641,0.0005,2198.64,6.903e-07,18432,native:blocked,0,1015,0,0,ok,0
getrf,float,2048,1,128,222.1756,222.1658,0.0005,3299.23,6.437e-07,4608,native:blocked,0,2045,0,0,ok,0
getrf,double,128,1,128,0.8798,0.8796,0.0006,203.41,9.874e-16,4608,native:blocked,0,122,0,0,ok,0
