op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,extra2,flag,foreign
getrf,float,128,1,128,0.2451,0.2453,0.0058,730.25,2.242e-07,512,vendor:auto,0,122,0,0,ok,0
getrf,float,128,1,256,0.3970,0.3962,0.0041,901.59,2.261e-07,1024,vendor:auto,0,119,0,0,ok,0
getrf,float,128,1,512,0.7381,0.7377,0.0035,969.80,2.361e-07,2048,vendor:auto,0,116,0,0,ok,0
getrf,float,128,1,1024,1.7199,1.7116,0.0121,832.42,2.242e-07,4096,vendor:auto,0,124,0,0,ok,0
getrf,float,256,1,128,1.2664,1.2658,0.0014,1130.52,3.046e-07,512,vendor:auto,0,246,0,0,ok,0
getrf,float,256,1,256,2.1406,2.1605,0.0319,1337.62,2.661e-07,1024,vendor:auto,0,251,0,0,ok,0
getrf,float,256,1,512,6.1391,6.2016,0.0223,932.81,3.521e-07,2048,vendor:auto,0,251,0,0,ok,0
getrf,float,256,1,1024,18.0844,18.0258,0.0201,633.32,3.225e-07,4096,vendor:auto,0,249,0,0,ok,0
getrf,float,512,1,128,11.4166,11.3883,0.0211,1003.21,3.907e-07,512,vendor:auto,0,503,0,0,ok,0
getrf,float,512,1,256,22.5890,22.5744,0.0072,1014.05,4.773e-07,1024,vendor:auto,0,504,0,0,ok,0
getrf,float,512,1,512,50.4123,50.4215,0.0048,908.77,4.133e-07,2048,vendor:auto,0,505,0,0,ok,0
getrf,float,512,1,1024,137.4479,137.1779,0.0039,666.62,5.355e-07,4096,vendor:auto,0,504,0,0,ok,0
getrf,float,1024,1,128,95.3552,95.4518,0.0035,960.89,7.493e-07,512,vendor:auto,0,1019,0,0,ok,0
getrf,float,1024,1,256,171.8986,173.5347,0.0172,1066.05,6.985e-07,1024,vendor:auto,0,1014,0,0,ok,0
getrf,float,1024,1,512,379.0969,382.0555,0.0162,966.78,6.201e-07,2048,vendor:auto,0,1015,0,0,ok,0
getrf,float,2048,1,128,693.5651,705.4476,0.0492,1056.87,1.087e-06,512,vendor:auto,0,2045,0,0,ok,0
getrf,double,128,1,128,0.4578,0.4575,0.0022,390.94,1.117e-15,512,vendor:auto,0,122,0,0,ok,0
getrf,double,128,1,256,0.6677,0.6794,0.0549,536.04,1.757e-15,1024,vendor:auto,0,119,0,0,ok,0
getrf,double,128,1,512,1.1796,1.1780,0.0042,606.86,1.457e-15,2048,vendor:auto,0,116,0,0,ok,0
getrf,double,128,1,1024,2.6565,2.6645,0.0121,538.92,1.295e-15,4096,vendor:auto,0,124,0,0,ok,0
getrf,double,256,1,128,2.4310,2.4318,0.0013,588.93,1.855e-15,512,vendor:auto,0,246,0,0,ok,0
getrf,double,256,1,256,4.3896,4.3913,0.0027,652.30,2.828e-15,1024,vendor:auto,0,251,0,0,ok,0
getrf,double,256,1,512,10.4170,10.4207,0.0023,549.74,1.855e-15,2048,vendor:auto,0,251,0,0,ok,0
getrf,double,256,1,1024,21.6785,21.6736,0.0017,528.32,1.858e-15,4096,vendor:auto,0,249,0,0,ok,0
