=== arm=inloop float n=512 batch=8 ===
kernel,grid,block,ld_sectors,st_sectors,dram_bytes,ns,dram_B_per_sector
walk,(15  1  1),(32  8  1),249600,245760,3539200,23968,7.14
walk,(1  1  1),(32  8  1),16576,16320,636288,21600,19.34
walk,(7  1  1),(64  8  1),232064,228480,3475328,40672,7.55
walk,(1  1  1),(64  8  1),33280,32768,448768,40576,6.79
walk,(13  1  1),(32  8  1),216320,212992,2918016,22752,6.80
walk,(3  1  1),(32  8  1),49728,48960,697344,21760,7.07
=== arm=defer_gather float n=512 batch=8 ===
kernel,grid,block,ld_sectors,st_sectors,dram_bytes,ns,dram_B_per_sector
walk,(15  1  1),(32  8  1),249600,245760,3539200,23776,7.14
walk,(7  1  1),(64  8  1),232064,228480,3174400,40672,6.89
walk,(13  1  1),(32  8  1),216320,212992,2994688,23072,6.98
walk,(3  2  1),(128  4  1),198912,195840,2770816,41408,7.02
walk,(11  1  1),(32  8  1),181632,178816,2281344,22208,6.33
walk,(5  1  1),(64  8  1),166400,163840,2108544,40832,6.38
