type,n,nrhs,batch,armA,armB,spellA,spellB,medA,medB,ratio,relsdA,relsdB,resA,resB,bitdiff,ws,route,ntpiv,flag,foreign
float,64,2,8192,walk,gather,0,1,0.2038,0.2036,1.0011,0.4167,0.1821,4.701e-07,4.701e-07,0,0,native:cta|native:cta,58,ok,0
float,64,8,8192,walk,gather,0,1,0.4238,0.4232,1.0013,0.0205,0.0035,4.701e-07,4.701e-07,0,0,native:cta|native:cta,58,ok,0
float,64,24,8192,walk,gather,0,1,2.5653,1.9452,1.3188,0.0058,0.0011,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,128,2,4096,walk,gather,0,1,0.3567,0.3561,1.0017,0.0051,0.0031,8.420e-07,8.420e-07,0,0,native:cta|native:cta,124,ok,0
float,128,8,4096,walk,gather,0,1,0.5557,0.5558,0.9998,0.0130,0.0015,8.420e-07,8.420e-07,0,0,native:cta|native:cta,124,ok,0
float,128,24,4096,walk,gather,0,1,3.0314,2.3642,1.2822,0.0028,0.0009,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,256,2,2048,walk,gather,0,1,0.6754,0.6737,1.0026,0.0033,0.0054,3.610e-07,3.610e-07,0,0,native:blocked|native:cta,250,ok,0
float,256,8,2048,walk,gather,0,1,0.9422,0.9431,0.9990,0.0060,0.0025,6.337e-07,6.337e-07,0,0,native:blocked|native:cta,250,ok,0
float,256,24,2048,walk,gather,0,1,4.4274,3.7256,1.1884,0.0491,0.0344,3.775e-07,3.775e-07,0,0,native:blocked|native:blocked,250,ok,0
float,512,2,1024,walk,gather,0,1,1.2897,1.2873,1.0019,0.0220,0.0037,6.733e-07,6.733e-07,0,0,native:blocked|native:cta,504,ok,0
float,512,8,1024,walk,gather,0,1,1.8205,1.8133,1.0039,0.0076,0.0051,5.158e-07,5.158e-07,0,0,native:blocked|native:cta,504,ok,0
float,512,24,1024,walk,gather,0,1,6.8992,6.1121,1.1288,0.0383,0.0004,6.060e-07,6.060e-07,0,0,native:blocked|native:blocked,504,ok,0
float,1024,2,256,walk,gather,0,1,1.3144,1.3127,1.0013,0.0034,0.0020,6.494e-07,6.494e-07,0,0,native:blocked|native:cta,1014,ok,0
float,1024,8,256,walk,gather,0,1,1.8510,1.8547,0.9980,0.0062,0.0050,6.603e-07,6.603e-07,0,0,native:blocked|native:cta,1014,ok,0
float,1024,24,256,walk,gather,0,1,7.8388,6.1777,1.2689,0.0236,0.0014,4.917e-07,4.917e-07,0,0,native:blocked|native:blocked,1014,ok,0
double,64,2,8192,walk,gather,0,1,0.7654,0.7651,1.0004,0.0044,0.0011,7.885e-16,7.885e-16,0,0,native:blocked|native:cta,58,ok,0
double,64,8,8192,walk,gather,0,1,2.9488,2.9482,1.0002,0.0585,0.0489,7.885e-16,7.885e-16,0,0,native:blocked|native:cta,58,ok,0
double,64,24,8192,walk,gather,0,1,9.8207,8.6455,1.1359,0.0123,0.0211,7.885e-16,7.885e-16,0,0,native:blocked|native:blocked,58,ok,0
double,128,2,4096,walk,gather,0,1,0.9789,0.9794,0.9995,0.0049,0.0012,1.000e-15,1.000e-15,0,0,native:blocked|native:cta,124,ok,0
double,128,8,4096,walk,gather,0,1,3.3947,3.3944,1.0001,0.0016,0.0007,1.000e-15,1.000e-15,0,0,native:blocked|native:cta,124,ok,0
double,128,24,4096,walk,gather,0,1,11.6209,10.3764,1.1199,0.0145,0.0131,8.957e-16,8.957e-16,0,0,native:blocked|native:blocked,124,ok,0
double,256,2,2048,walk,gather,0,1,1.5412,1.5368,1.0028,0.0060,0.0050,2.231e-15,2.231e-15,0,0,native:blocked|native:cta,250,ok,0
double,256,8,2048,walk,gather,0,1,5.0368,5.0429,0.9988,0.0150,0.0231,1.446e-15,1.446e-15,0,0,native:blocked|native:cta,250,ok,0
double,256,24,2048,walk,gather,0,1,14.9116,13.7297,1.0861,0.0212,0.0089,1.557e-15,1.557e-15,0,0,native:blocked|native:blocked,250,ok,0
double,512,2,1024,walk,gather,0,1,2.7006,2.7107,0.9963,0.0422,0.0538,1.887e-15,1.887e-15,0,0,native:blocked|native:cta,504,ok,0
double,512,8,1024,walk,gather,0,1,8.5602,8.5607,0.9999,0.0007,0.0294,1.778e-15,1.778e-15,0,0,native:blocked|native:cta,504,ok,0
double,512,24,1024,walk,gather,0,1,21.5202,20.2929,1.0605,0.0209,0.0077,2.115e-15,2.115e-15,0,0,native:blocked|native:blocked,504,ok,0
double,1024,2,256,walk,gather,0,1,2.7204,2.7105,1.0036,0.0063,0.0072,3.886e-15,3.886e-15,0,0,native:blocked|native:cta,1014,ok,0
double,1024,8,256,walk,gather,0,1,8.5668,8.5657,1.0001,0.0128,0.0193,2.999e-15,2.999e-15,0,0,native:blocked|native:cta,1014,ok,0
double,1024,24,256,walk,gather,0,1,16.5779,14.9231,1.1109,0.0272,0.0067,3.001e-15,3.001e-15,0,0,native:blocked|native:blocked,1014,ok,0
cfloat,64,2,8192,walk,gather,0,1,0.3593,0.3573,1.0056,0.0089,0.0041,6.401e-07,6.401e-07,0,0,native:cta|native:cta,58,ok,0
cfloat,64,8,8192,walk,gather,0,1,0.8643,0.8640,1.0003,0.0095,0.0009,6.401e-07,6.401e-07,0,0,native:cta|native:cta,58,ok,0
cfloat,64,24,8192,walk,gather,0,1,5.2147,3.8721,1.3467,0.0046,0.0007,6.590e-07,6.590e-07,0,0,native:cta|native:blocked,58,ok,0
