# REFUSED ('float', 64, 2, 8192): relsd 0.417 > 0.10
# 59 paired cells
type,n,nrhs,batch,walk_p1,gather_p1,r_p1,walk_p2,gather_p2,r_p2,QUOTED,spread_walk,spread_gather
cdouble,64,2,8192,2.5200,2.5204,0.9998,2.5170,2.5173,0.9999,0.9998,1.0012,1.0012
cdouble,64,8,8192,10.2031,10.2050,0.9998,10.2004,10.2015,0.9999,0.9998,1.0003,1.0003
cdouble,64,24,8192,41.6843,38.4945,1.0829,41.6718,38.4823,1.0829,1.0829,1.0003,1.0003
cdouble,128,2,4096,3.0194,3.0181,1.0004,3.0155,3.0156,1.0000,1.0000,1.0013,1.0008
cdouble,128,8,4096,12.1980,12.1947,1.0003,12.2074,12.2024,1.0004,1.0003,1.0008,1.0006
cdouble,128,24,4096,62.1066,59.5645,1.0427,62.2111,59.6767,1.0425,1.0425,1.0017,1.0019
cdouble,256,2,2048,4.0392,4.0472,0.9980,4.0389,4.0349,1.0010,0.9980,1.0001,1.0030
cdouble,256,8,2048,20.7719,20.7193,1.0025,20.7521,20.7760,0.9988,0.9988,1.0010,1.0027
cdouble,256,24,2048,107.1325,103.1338,1.0388,105.9295,104.7989,1.0108,1.0108,1.0114,1.0161
cdouble,512,2,1024,6.0574,6.0290,1.0047,6.0363,6.0208,1.0026,1.0026,1.0035,1.0014
cdouble,512,8,1024,41.0722,41.0761,0.9999,41.1249,41.1243,1.0000,0.9999,1.0013,1.0012
cdouble,512,24,1024,193.4082,190.8052,1.0136,193.4633,190.8505,1.0137,1.0136,1.0003,1.0002
cdouble,1024,2,256,5.6929,5.6942,0.9998,5.6829,5.6917,0.9985,0.9985,1.0018,1.0004
cdouble,1024,8,256,87.6217,85.4205,1.0258,87.8223,85.6315,1.0256,1.0256,1.0023,1.0025
cdouble,1024,24,256,174.9442,171.5991,1.0195,174.9631,171.6086,1.0195,1.0195,1.0001,1.0001
cfloat,64,2,8192,0.3593,0.3573,1.0056,0.3581,0.3576,1.0014,1.0014,1.0034,1.0008
cfloat,64,8,8192,0.8643,0.8640,1.0003,0.8629,0.8622,1.0008,1.0003,1.0016,1.0021
cfloat,64,24,8192,5.2147,3.8721,1.3467,5.1963,3.8737,1.3414,1.3414,1.0035,1.0004
cfloat,128,2,4096,0.6745,0.6750,0.9993,0.6756,0.6755,1.0001,0.9993,1.0016,1.0007
cfloat,128,8,4096,1.4461,1.4475,0.9990,1.4491,1.4501,0.9993,0.9990,1.0021,1.0018
cfloat,128,24,4096,6.9122,5.3226,1.2987,6.9116,5.3190,1.2994,1.2987,1.0001,1.0007
cfloat,256,2,2048,1.2827,1.2746,1.0064,1.2892,1.2883,1.0007,1.0007,1.0051,1.0107
cfloat,256,8,2048,2.6690,2.6681,1.0003,2.6700,2.6661,1.0015,1.0003,1.0004,1.0008
cfloat,256,24,2048,9.2641,7.7172,1.2004,9.2633,7.7150,1.2007,1.2004,1.0001,1.0003
cfloat,512,2,1024,2.4387,2.4430,0.9982,2.4427,2.4398,1.0012,0.9982,1.0016,1.0013
cfloat,512,8,1024,5.1974,5.1964,1.0002,5.1887,5.1868,1.0004,1.0002,1.0017,1.0019
cfloat,512,24,1024,14.2516,12.5462,1.1359,14.2553,12.5439,1.1364,1.1359,1.0003,1.0002
cfloat,1024,2,256,2.4585,2.4517,1.0028,2.4503,2.4543,0.9984,0.9984,1.0033,1.0011
cfloat,1024,8,256,5.2473,5.2460,1.0002,5.2450,5.2412,1.0007,1.0002,1.0004,1.0009
cfloat,1024,24,256,14.8832,11.6209,1.2807,14.8632,11.6116,1.2800,1.2800,1.0013,1.0008
double,64,2,8192,0.7654,0.7651,1.0004,0.7658,0.7654,1.0005,1.0004,1.0005,1.0004
double,64,8,8192,2.9488,2.9482,1.0002,2.9538,2.9535,1.0001,1.0001,1.0017,1.0018
double,64,24,8192,9.8207,8.6455,1.1359,9.7901,8.6386,1.1333,1.1333,1.0031,1.0008
double,128,2,4096,0.9789,0.9794,0.9995,0.9796,0.9791,1.0005,0.9995,1.0007,1.0003
double,128,8,4096,3.3947,3.3944,1.0001,3.3946,3.3945,1.0000,1.0000,1.0000,1.0000
double,128,24,4096,11.6209,10.3764,1.1199,11.6127,10.3737,1.1194,1.1194,1.0007,1.0003
double,256,2,2048,1.5412,1.5368,1.0029,1.5417,1.5444,0.9983,0.9983,1.0003,1.0049
