type,n,nrhs,batch,armA,armB,spellA,spellB,medA,medB,ratio,relsdA,relsdB,resA,resB,bitdiff,ws,route,ntpiv,flag,foreign
float,64,1,8192,walk,gather,0,1,0.1761,0.1762,0.9990,0.0092,0.0034,4.701e-07,4.701e-07,0,0,native:cta|native:cta,58,ok,0
float,64,4,8192,walk,gather,0,1,0.2833,0.2839,0.9981,0.0462,0.0161,4.701e-07,4.701e-07,0,0,native:cta|native:cta,58,ok,0
float,64,16,8192,walk,gather,0,1,2.1024,1.6916,1.2429,0.0040,0.0014,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,64,32,8192,walk,gather,0,1,3.0704,2.2402,1.3706,0.0036,0.0009,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,64,64,8192,walk,gather,0,1,3.6891,2.0689,1.7831,0.0020,0.0032,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,64,128,8192,walk,gather,0,1,6.3130,3.1562,2.0002,0.0022,0.0028,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,128,1,4096,walk,gather,0,1,0.3488,0.3486,1.0005,0.0080,0.0030,8.420e-07,8.420e-07,0,0,native:cta|native:cta,124,ok,0
float,128,4,4096,walk,gather,0,1,0.4153,0.4156,0.9993,0.0069,0.0051,8.420e-07,8.420e-07,0,0,native:cta|native:cta,124,ok,0
float,128,16,4096,walk,gather,0,1,2.3128,1.8911,1.2230,0.0071,0.0112,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,128,32,4096,walk,gather,0,1,3.3351,2.3331,1.4295,0.0044,0.0007,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,128,64,4096,walk,gather,0,1,5.4952,2.7866,1.9720,0.0324,0.0225,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,128,128,4096,walk,gather,0,1,9.5352,4.4637,2.1362,0.0131,0.0027,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,256,1,2048,walk,gather,0,1,0.6902,0.6891,1.0017,0.0060,0.0022,4.751e-07,4.751e-07,0,0,native:blocked|native:cta,250,ok,0
float,256,4,2048,walk,gather,0,1,0.7756,0.7743,1.0017,0.0053,0.0030,4.063e-07,4.063e-07,0,0,native:blocked|native:cta,250,ok,0
float,256,16,2048,walk,gather,0,1,3.1891,2.7208,1.1721,0.0388,0.0327,3.295e-07,3.295e-07,0,0,native:blocked|native:blocked,250,ok,0
float,256,32,2048,walk,gather,0,1,3.9352,2.9249,1.3454,0.0030,0.0014,3.295e-07,3.295e-07,0,0,native:blocked|native:blocked,250,ok,0
float,256,64,2048,walk,gather,0,1,8.2861,3.7005,2.2392,0.0259,0.0384,3.295e-07,3.295e-07,0,0,native:blocked|native:blocked,250,ok,0
float,256,128,2048,walk,gather,0,1,19.8512,7.1219,2.7873,0.0275,0.0031,3.295e-07,3.295e-07,0,0,native:blocked|native:blocked,250,ok,0
float,512,1,1024,walk,gather,0,1,1.3125,1.3108,1.0014,0.0155,0.0091,5.270e-07,5.270e-07,0,0,native:blocked|native:cta,504,ok,0
