type,n,nrhs,batch,armA,armB,spellA,spellB,medA,medB,ratio,relsdA,relsdB,resA,resB,bitdiff,ws,route,ntpiv,flag,foreign
float,64,128,8192,walk,gather,0,1,6.3134,3.1492,2.0048,0.0040,0.0036,5.977e-07,5.977e-07,0,0,native:cta|native:blocked,58,ok,0
float,256,64,2048,walk,gather,0,1,8.1288,3.6756,2.2115,0.0035,0.0023,3.295e-07,3.295e-07,0,0,native:blocked|native:blocked,250,ok,0
float,512,128,1024,walk,gather,0,1,22.3420,8.8244,2.5319,0.0143,0.0012,6.430e-07,6.430e-07,0,0,native:blocked|native:blocked,504,ok,0
float,1024,16,256,walk,gather,0,1,5.0301,3.9656,1.2684,0.0019,0.0016,5.963e-07,5.963e-07,0,0,native:blocked|native:blocked,1014,ok,0
float,128,32,4096,walk,gather,0,1,3.2992,2.3238,1.4197,0.0030,0.0011,8.418e-07,8.418e-07,0,0,native:cta|native:blocked,124,ok,0
float,256,1,2048,walk,gather,0,1,0.6930,0.6911,1.0029,0.0041,0.0039,4.751e-07,4.751e-07,0,0,native:blocked|native:cta,250,ok,0
double,64,128,8192,walk,gather,0,1,16.9778,12.5723,1.3504,0.0243,0.0091,7.885e-16,7.885e-16,0,0,native:blocked|native:blocked,58,ok,0
double,256,64,2048,walk,gather,0,1,27.0097,20.0729,1.3456,0.0150,0.0074,1.334e-15,1.334e-15,0,0,native:blocked|native:blocked,250,ok,0
double,512,128,1024,walk,gather,0,1,75.7616,58.1966,1.3018,0.0088,0.0113,2.008e-15,2.008e-15,0,0,native:blocked|native:blocked,504,ok,0
double,1024,16,256,walk,gather,0,1,9.6620,8.5727,1.1271,0.0301,0.0006,3.109e-15,3.109e-15,0,0,native:blocked|native:blocked,1014,ok,0
double,128,32,4096,walk,gather,0,1,12.8203,10.4878,1.2224,0.0099,0.0252,9.997e-16,9.997e-16,0,0,native:blocked|native:blocked,124,ok,0
double,256,1,2048,walk,gather,0,1,1.3645,1.3628,1.0012,0.0046,0.0021,1.334e-15,1.334e-15,0,0,native:blocked|native:cta,250,ok,0
cfloat,64,128,8192,walk,gather,0,1,17.0100,10.8273,1.5710,0.0243,0.0130,6.586e-07,6.586e-07,0,0,native:cta|native:blocked,58,ok,0
cfloat,256,64,2048,walk,gather,0,1,15.1510,8.8786,1.7065,0.0082,0.0321,4.310e-07,4.310e-07,0,0,native:blocked|native:blocked,250,ok,0
cfloat,512,128,1024,walk,gather,0,1,35.7974,18.8391,1.9002,0.0088,0.0208,4.331e-07,4.331e-07,0,0,native:blocked|native:blocked,504,ok,0
cfloat,1024,16,256,walk,gather,0,1,9.0801,7.0136,1.2946,0.0248,0.0178,6.314e-07,6.314e-07,0,0,native:blocked|native:blocked,1014,ok,0
cfloat,128,32,4096,walk,gather,0,1,7.2502,4.9938,1.4518,0.0250,0.0214,3.013e-07,3.013e-07,0,0,native:blocked|native:blocked,124,ok,0
cfloat,256,1,2048,walk,gather,0,1,1.2678,1.2650,1.0023,0.0059,0.0081,3.208e-07,3.208e-07,0,0,native:blocked|native:cta,250,ok,0
cdouble,64,128,8192,walk,gather,0,1,74.3320,59.0151,1.2595,0.0086,0.0101,8.619e-16,8.619e-16,0,0,native:cta|native:blocked,58,ok,0
cdouble,256,64,2048,walk,gather,0,1,103.5848,95.6593,1.0829,0.0055,0.0060,1.141e-15,1.141e-15,0,0,native:blocked|native:blocked,250,ok,0
cdouble,512,128,1024,walk,gather,0,1,283.2523,261.7647,1.0821,0.0023,0.0023,1.532e-15,1.532e-15,0,0,native:blocked|native:blocked,504,ok,0
cdouble,1024,16,256,walk,gather,0,1,90.8595,88.6753,1.0246,0.0074,0.0073,2.905e-15,2.905e-15,0,0,native:blocked|native:blocked,1014,ok,0
cdouble,128,32,4096,walk,gather,0,1,70.1907,66.3936,1.0572,0.0083,0.0078,7.578e-16,7.578e-16,0,0,native:blocked|native:blocked,124,ok,0
cdouble,256,1,2048,walk,gather,0,1,2.8495,2.8373,1.0043,0.0061,0.0076,1.297e-15,1.297e-15,0,0,native:blocked|native:cta,250,ok,0
