# 24 paired cells
type,n,nrhs,batch,walk_p1,gather_p1,r_p1,walk_p2,gather_p2,r_p2,QUOTED,spread_walk,spread_gather
cdouble,64,128,8192,74.3320,59.0151,1.2595,74.2115,59.0181,1.2574,1.2574,1.0016,1.0001
cdouble,128,32,4096,70.1907,66.3936,1.0572,69.9755,66.5111,1.0521,1.0521,1.0031,1.0018
cdouble,256,1,2048,2.8495,2.8373,1.0043,2.8565,2.8478,1.0031,1.0031,1.0025,1.0037
cdouble,256,64,2048,103.5848,95.6593,1.0829,104.8714,94.2689,1.1125,1.0829,1.0124,1.0147
cdouble,512,128,1024,283.2523,261.7647,1.0821,283.6985,261.9050,1.0832,1.0821,1.0016,1.0005
cdouble,1024,16,256,90.8595,88.6753,1.0246,91.8425,88.3124,1.0400,1.0246,1.0108,1.0041
cfloat,64,128,8192,17.0100,10.8273,1.5710,16.9887,10.8132,1.5711,1.5710,1.0013,1.0013
cfloat,128,32,4096,7.2502,4.9938,1.4518,7.2635,4.9942,1.4544,1.4518,1.0018,1.0001
cfloat,256,1,2048,1.2678,1.2650,1.0022,1.2688,1.2676,1.0009,1.0009,1.0008,1.0021
cfloat,256,64,2048,15.1510,8.8786,1.7065,15.1473,8.8647,1.7087,1.7065,1.0002,1.0016
cfloat,512,128,1024,35.7974,18.8391,1.9002,35.8009,18.8118,1.9031,1.9002,1.0001,1.0015
cfloat,1024,16,256,9.0801,7.0136,1.2946,9.0945,7.0296,1.2937,1.2937,1.0016,1.0023
double,64,128,8192,16.9778,12.5723,1.3504,17.0323,12.6404,1.3474,1.3474,1.0032,1.0054
double,128,32,4096,12.8203,10.4878,1.2224,12.8100,10.4913,1.2210,1.2210,1.0008,1.0003
double,256,1,2048,1.3645,1.3628,1.0012,1.3659,1.3656,1.0002,1.0002,1.0010,1.0021
double,256,64,2048,27.0097,20.0729,1.3456,27.0116,20.1279,1.3420,1.3420,1.0001,1.0027
double,512,128,1024,75.7616,58.1966,1.3018,76.1020,58.3137,1.3050,1.3018,1.0045,1.0020
double,1024,16,256,9.6620,8.5727,1.1271,9.6833,8.5854,1.1279,1.1271,1.0022,1.0015
float,64,128,8192,6.3134,3.1492,2.0048,6.2990,3.1479,2.0010,2.0010,1.0023,1.0004
float,128,32,4096,3.2992,2.3238,1.4197,3.2921,2.3248,1.4161,1.4161,1.0022,1.0004
float,256,1,2048,0.6930,0.6911,1.0027,0.7032,0.7054,0.9969,0.9969,1.0147,1.0207
float,256,64,2048,8.1288,3.6756,2.2116,8.1235,3.6767,2.2095,2.2095,1.0007,1.0003
float,512,128,1024,22.3420,8.8244,2.5318,22.3424,8.8276,2.5310,2.5310,1.0000,1.0004
float,1024,16,256,5.0301,3.9656,1.2684,5.0473,3.9759,1.2695,1.2684,1.0034,1.0026

# ALL CELLS: 24  geomean 1.3330  min 0.9969  max 2.5310  below 1.00: 1
# worst cell: ('float', 256, 1, 2048) = 0.9969
#   float      6 cells  geomean 1.6480  (0.9969 - 2.5310)
#   double     6 cells  geomean 1.2165  (1.0002 - 1.3474)
#   cfloat     6 cells  geomean 1.4573  (1.0009 - 1.9002)
#   cdouble    6 cells  geomean 1.0807  (1.0031 - 1.2574)
#   nrhs=1      4 cells  geomean 1.0003  (0.9969 - 1.0031)
#   nrhs=16     4 cells  geomean 1.1733  (1.0246 - 1.2937)
#   nrhs=32     4 cells  geomean 1.2748  (1.0521 - 1.4518)
#   nrhs=64     4 cells  geomean 1.5299  (1.0829 - 2.2095)
#   nrhs=128    8 cells  geomean 1.5655  (1.0821 - 2.5310)
# cross-pass median spread 1.0018  worst 1.0207  above 1.10: 0 of 48
