# 120 paired cells
type,n,nrhs,batch,walk_p1,gather_p1,r_p1,walk_p2,gather_p2,r_p2,QUOTED,spread_walk,spread_gather
cdouble,64,1,8192,1.3094,1.3092,1.0002,1.3076,1.3086,0.9992,0.9992,1.0014,1.0005
cdouble,64,4,8192,5.0127,5.0135,0.9998,5.0138,5.0130,1.0002,0.9998,1.0002,1.0001
cdouble,64,16,8192,36.1655,34.9023,1.0362,36.2102,34.9695,1.0355,1.0355,1.0012,1.0019
cdouble,64,32,8192,45.4806,41.6581,1.0918,45.6352,41.7609,1.0928,1.0918,1.0034,1.0025
cdouble,64,64,8192,51.4010,43.2590,1.1882,51.2549,43.3807,1.1815,1.1815,1.0029,1.0028
cdouble,64,128,8192,74.2821,58.9026,1.2611,74.4045,59.0035,1.2610,1.2610,1.0016,1.0017
cdouble,128,1,4096,1.7190,1.7183,1.0004,1.7152,1.7176,0.9986,0.9986,1.0022,1.0004
cdouble,128,4,4096,5.8573,5.8576,0.9999,5.8704,5.8689,1.0003,0.9999,1.0022,1.0019
cdouble,128,16,4096,47.5487,46.2547,1.0280,47.6371,46.3376,1.0280,1.0280,1.0019,1.0018
cdouble,128,32,4096,69.9015,66.3941,1.0528,70.0187,66.5185,1.0526,1.0526,1.0017,1.0019
cdouble,128,64,4096,78.1405,68.5461,1.1400,78.2572,68.6565,1.1398,1.1398,1.0015,1.0016
cdouble,128,128,4096,130.7343,109.2226,1.1970,130.0618,110.6904,1.1750,1.1750,1.0052,1.0134
cdouble,256,1,2048,2.8632,2.8433,1.0070,2.8475,2.8387,1.0031,1.0031,1.0055,1.0016
cdouble,256,4,2048,7.6370,7.6370,1.0000,7.6543,7.6500,1.0006,1.0000,1.0023,1.0017
cdouble,256,16,2048,69.4392,68.1152,1.0194,69.4671,68.1261,1.0197,1.0194,1.0004,1.0002
cdouble,256,32,2048,96.5801,91.4995,1.0555,95.3364,92.7452,1.0279,1.0279,1.0130,1.0136
cdouble,256,64,2048,104.8598,94.1581,1.1137,104.7052,94.1385,1.1122,1.1122,1.0015,1.0002
cdouble,256,128,2048,185.4930,161.4553,1.1489,185.4522,161.4708,1.1485,1.1485,1.0002,1.0001
cdouble,512,1,1024,5.0489,5.0459,1.0006,5.0692,5.0677,1.0003,1.0003,1.0040,1.0043
cdouble,512,4,1024,13.3423,13.3427,1.0000,13.3539,13.3499,1.0003,1.0000,1.0009,1.0005
cdouble,512,16,1024,112.8038,112.7595,1.0004,113.7302,111.9889,1.0155,1.0004,1.0082,1.0069
cdouble,512,32,1024,146.1609,142.3287,1.0269,146.1337,142.3472,1.0266,1.0266,1.0002,1.0001
cdouble,512,64,1024,154.0822,145.5079,1.0589,154.9119,145.4688,1.0649,1.0589,1.0054,1.0003
cdouble,512,128,1024,282.9666,261.3778,1.0826,283.2422,261.4766,1.0832,1.0826,1.0010,1.0004
cdouble,1024,1,256,5.0035,5.0051,0.9997,5.0051,5.0056,0.9999,0.9997,1.0003,1.0001
cdouble,1024,4,256,13.2333,13.2319,1.0001,13.2307,13.2314,0.9999,0.9999,1.0002,1.0000
cdouble,1024,16,256,91.6508,88.1431,1.0398,91.3510,88.1680,1.0361,1.0361,1.0033,1.0003
cdouble,1024,32,256,112.1583,110.6038,1.0141,112.7447,109.8756,1.0261,1.0141,1.0052,1.0066
cdouble,1024,64,256,117.6974,113.4022,1.0379,117.0437,113.6924,1.0295,1.0295,1.0056,1.0026
