op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,64,32,2048,0.4644,0.4645,0.0012,1155.96,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,32,4096,1.0474,1.0475,0.0012,1025.12,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,32,8192,2.2361,2.2363,0.0011,960.37,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,64,64,2048,0.4467,0.4468,0.0017,2403.45,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,64,4096,0.9723,0.9723,0.0011,2208.74,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,64,8192,2.0653,2.0742,0.0123,2079.54,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,64,128,2048,0.6888,0.6894,0.0031,3117.61,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,128,4096,1.5685,1.6441,0.0762,2738.31,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,128,8192,3.1539,3.1561,0.0024,2723.55,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,128,32,1024,0.5648,0.5647,0.0017,1901.21,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,32,2048,1.0629,1.0630,0.0012,2020.49,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,32,4096,2.3275,2.3277,0.0005,1845.29,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,128,64,1024,0.6284,0.6284,0.0013,3417.26,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,64,2048,1.3243,1.3248,0.0012,3243.21,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,64,4096,2.7823,2.7842,0.0018,3087.30,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,128,128,1024,0.9737,0.9735,0.0013,4410.88,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,128,2048,2.1504,2.1529,0.0024,3994.58,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,128,4096,4.4807,4.5737,0.0402,3834.22,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,256,32,1024,1.4662,1.4886,0.0515,2929.38,3.624e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,32,2048,2.9276,2.9291,0.0025,2934.13,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,32,4096,6.4890,6.4879,0.0011,2647.56,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,256,64,1024,1.7526,1.7517,0.0033,4901.16,3.480e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,64,2048,3.6843,3.6848,0.0012,4663.00,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,64,4096,8.3767,8.3980,0.0095,4101.81,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,256,128,1024,2.9128,2.9156,0.0024,5898.07,3.480e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,128,2048,7.1391,7.2464,0.0333,4812.89,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,128,4096,16.1056,16.1922,0.0181,4266.80,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,512,32,512,2.0418,2.0418,0.0008,4207.01,4.919e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,32,1024,3.9212,3.9216,0.0012,4381.28,4.491e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,32,2048,7.6817,7.7485,0.0271,4472.94,4.335e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,512,64,512,2.4607,2.4656,0.0064,6981.62,6.087e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,64,1024,4.7322,4.7338,0.0020,7260.83,4.164e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,64,2048,9.7317,9.8267,0.0313,7061.40,3.942e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,512,128,512,4.2216,4.2189,0.0017,8139.00,5.477e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,128,1024,8.8374,8.9633,0.0454,7776.01,6.430e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,128,2048,20.6337,20.7708,0.0215,6660.91,4.059e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,1024,32,128,2.7237,2.7242,0.0005,3153.76,6.273e-07,0,native:blocked|native:blocked,6.903e-07,1019,ok,0
getrs,float,1024,32,256,3.5438,3.6396,0.0447,4847.93,5.723e-07,0,native:blocked|native:blocked,6.903e-07,1014,ok,0
getrs,float,1024,32,512,5.6875,5.6861,0.0007,6041.23,5.388e-07,0,native:blocked|native:blocked,6.903e-07,1015,ok,0
getrs,float,1024,64,128,3.0160,3.0167,0.0008,5696.31,6.410e-07,0,native:blocked|native:blocked,6.903e-07,1019,ok,0
getrs,float,1024,64,256,4.1418,4.1418,0.0010,8295.80,5.576e-07,0,native:blocked|native:blocked,6.903e-07,1014,ok,0
getrs,float,1024,64,512,7.2559,7.2584,0.0016,9470.87,5.388e-07,0,native:blocked|native:blocked,6.903e-07,1015,ok,0
getrs,float,1024,128,128,4.2853,4.2859,0.0013,8018.03,5.351e-07,0,native:blocked|native:blocked,6.903e-07,1019,ok,0
getrs,float,1024,128,256,7.2981,7.2978,0.0015,9416.12,5.392e-07,0,native:blocked|native:blocked,6.903e-07,1014,ok,0
getrs,float,1024,128,512,14.4313,14.5290,0.0147,9523.66,5.689e-07,0,native:blocked|native:blocked,6.903e-07,1015,ok,0
getrs,double,64,64,2048,2.5199,2.5210,0.0015,426.11,6.912e-16,0,native:blocked|native:blocked,8.627e-16,55,ok,0
getrs,double,64,64,4096,5.0644,5.0633,0.0011,424.03,7.776e-16,0,native:blocked|native:blocked,7.836e-16,60,ok,0
getrs,double,64,64,8192,10.0287,10.1062,0.0196,428.27,7.885e-16,0,native:blocked|native:blocked,7.688e-16,58,ok,0
getrs,double,64,128,2048,3.2809,3.3682,0.0567,654.55,6.758e-16,0,native:blocked|native:blocked,8.627e-16,55,ok,0
getrs,double,64,128,4096,6.4729,6.5898,0.0410,663.53,6.863e-16,0,native:blocked|native:blocked,7.836e-16,60,ok,0
getrs,double,64,128,8192,12.6626,12.7990,0.0329,678.37,7.885e-16,0,native:blocked|native:blocked,7.688e-16,58,ok,0
getrs,double,128,64,1024,3.4171,3.4166,0.0006,628.45,1.000e-15,0,native:blocked|native:blocked,1.403e-15,124,ok,0
getrs,double,128,64,2048,6.8161,6.8161,0.0007,630.12,1.117e-15,0,native:blocked|native:blocked,1.768e-15,125,ok,0
getrs,double,128,64,4096,13.5009,13.6354,0.0299,636.25,8.891e-16,0,native:blocked|native:blocked,1.304e-15,124,ok,0
getrs,double,128,128,1024,4.9408,5.0268,0.0370,869.29,1.000e-15,0,native:blocked|native:blocked,1.403e-15,124,ok,0
getrs,double,128,128,2048,9.9183,9.9227,0.0015,866.07,1.000e-15,0,native:blocked|native:blocked,1.768e-15,125,ok,0
