op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,64,32,1024,0.3444,0.3445,0.0019,779.44,5.753e-07,0,native:cta|native:blocked,3.584e-07,60,ok,0
getrs,float,64,32,2048,0.6714,0.6823,0.0338,799.68,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,32,4096,1.4677,1.5178,0.0715,731.60,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,32,8192,3.0577,3.2405,0.0844,702.33,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,64,64,1024,0.4345,0.4345,0.0021,1235.71,5.753e-07,0,native:cta|native:blocked,3.584e-07,60,ok,0
getrs,float,64,64,2048,0.8695,0.9100,0.1052,1234.85,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,64,4096,1.8042,1.8295,0.0397,1190.28,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,64,8192,3.6800,3.8175,0.0495,1167.12,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,64,128,1024,0.7220,0.7430,0.0888,1487.20,5.753e-07,0,native:cta|native:blocked,3.584e-07,60,ok,0
getrs,float,64,128,2048,1.4816,1.4816,0.0013,1449.48,5.681e-07,0,native:cta|native:blocked,3.228e-07,55,ok,0
getrs,float,64,128,4096,3.1803,3.1797,0.0022,1350.50,5.832e-07,0,native:cta|native:blocked,3.228e-07,60,ok,0
getrs,float,64,128,8192,6.2942,6.2984,0.0018,1364.73,5.977e-07,0,native:cta|native:blocked,4.097e-07,58,ok,0
getrs,float,128,32,1024,0.7827,0.7828,0.0019,1371.77,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,32,2048,1.4921,1.4926,0.0015,1439.22,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,32,4096,3.3150,3.4268,0.0468,1295.63,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,128,32,8192,7.9823,8.1192,0.0677,1076.12,6.211e-07,0,native:cta|native:blocked,3.420e-07,122,ok,0
getrs,float,128,64,1024,1.0538,1.0541,0.0022,2037.89,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,64,2048,2.2626,2.2692,0.0076,1898.25,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,64,4096,6.2174,6.1922,0.0517,1381.59,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,128,64,8192,10.6676,10.6863,0.0032,1610.47,6.139e-07,0,native:cta|native:blocked,3.420e-07,122,ok,0
getrs,float,128,128,1024,1.9993,2.0046,0.0090,2148.23,6.987e-07,0,native:cta|native:blocked,9.683e-07,124,ok,0
getrs,float,128,128,2048,4.8489,5.0077,0.0673,1771.51,5.880e-07,0,native:cta|native:blocked,6.153e-07,125,ok,0
getrs,float,128,128,4096,10.9074,10.7046,0.0474,1575.07,8.418e-07,0,native:cta|native:blocked,3.714e-07,124,ok,0
getrs,float,128,128,8192,18.2886,18.3787,0.0120,1878.75,7.141e-07,0,native:cta|native:blocked,3.420e-07,122,ok,0
getrs,float,256,32,1024,1.9142,1.9469,0.0382,2243.78,3.624e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,32,2048,3.9443,4.0074,0.0355,2177.82,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,32,4096,11.5540,11.6982,0.0565,1486.93,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,256,32,8192,27.9334,27.8613,0.0234,1230.06,4.737e-07,0,native:blocked|native:blocked,3.634e-07,251,ok,0
getrs,float,256,64,1024,2.7955,2.9029,0.0644,3072.81,3.480e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,64,2048,8.2270,8.4433,0.0502,2088.24,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,64,4096,22.6449,22.7010,0.0410,1517.33,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,256,64,8192,47.5059,47.7008,0.0142,1446.55,4.737e-07,0,native:blocked|native:blocked,3.634e-07,251,ok,0
getrs,float,256,128,1024,7.8717,7.9087,0.0313,2182.50,3.480e-07,0,native:blocked|native:blocked,3.078e-07,249,ok,0
getrs,float,256,128,2048,22.0723,22.0137,0.0448,1556.69,3.295e-07,0,native:blocked|native:blocked,3.648e-07,250,ok,0
getrs,float,256,128,4096,43.0114,43.4079,0.0200,1597.70,5.328e-07,0,native:blocked|native:blocked,3.661e-07,245,ok,0
getrs,float,256,128,8192,88.1938,91.2781,0.0461,1558.37,4.737e-07,0,native:blocked|native:blocked,3.634e-07,251,ok,0
getrs,float,512,32,1024,4.9360,4.9369,0.0010,3480.55,4.491e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,32,2048,11.7407,11.8106,0.0130,2926.54,4.335e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,512,32,4096,29.7736,29.8148,0.0067,2308.07,5.315e-07,0,native:blocked|native:blocked,4.620e-07,505,ok,0
getrs,float,512,64,1024,8.8095,8.8220,0.0036,3900.28,4.164e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,64,2048,24.9082,24.9425,0.0549,2758.91,3.942e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,512,64,4096,62.2153,61.2839,0.0292,2209.09,5.315e-07,0,native:blocked|native:blocked,4.620e-07,505,ok,0
getrs,float,512,128,1024,24.3292,24.4325,0.0288,2824.56,6.430e-07,0,native:blocked|native:blocked,4.485e-07,504,ok,0
getrs,float,512,128,2048,53.8095,55.5914,0.0450,2554.18,4.059e-07,0,native:blocked|native:blocked,3.750e-07,504,ok,0
getrs,float,512,128,4096,117.2696,120.2746,0.0347,2343.98,5.315e-07,0,native:blocked|native:blocked,4.620e-07,505,ok,0
getrs,double,64,32,1024,1.1847,1.1881,0.0050,226.58,5.584e-16,0,native:blocked|native:blocked,7.543e-16,60,ok,0
getrs,double,64,32,2048,2.3609,2.5025,0.0835,227.40,6.758e-16,0,native:blocked|native:blocked,8.627e-16,55,ok,0
getrs,double,64,32,4096,4.8370,5.0180,0.0678,221.99,5.632e-16,0,native:blocked|native:blocked,7.836e-16,60,ok,0
getrs,double,64,32,8192,10.0371,10.0419,0.0014,213.95,7.885e-16,0,native:blocked|native:blocked,7.688e-16,58,ok,0
getrs,double,64,64,1024,1.4190,1.4587,0.0576,378.34,8.939e-16,0,native:blocked|native:blocked,7.543e-16,60,ok,0
getrs,double,64,64,2048,2.9692,2.9698,0.0010,361.63,6.912e-16,0,native:blocked|native:blocked,8.627e-16,55,ok,0
getrs,double,64,64,4096,6.5934,6.8785,0.0633,325.70,7.776e-16,0,native:blocked|native:blocked,7.836e-16,60,ok,0
getrs,double,64,64,8192,12.9828,12.8930,0.0369,330.82,7.885e-16,0,native:blocked|native:blocked,7.688e-16,58,ok,0
getrs,double,64,128,1024,2.0426,2.2003,0.1248,525.69,7.882e-16,0,native:blocked|native:blocked,7.543e-16,60,ok,0
getrs,double,64,128,2048,4.9564,4.8651,0.0440,433.28,6.758e-16,0,native:blocked|native:blocked,8.627e-16,55,ok,0
getrs,double,64,128,4096,8.8330,8.8626,0.0121,486.24,6.863e-16,0,native:blocked|native:blocked,7.836e-16,60,ok,0
getrs,double,64,128,8192,17.0272,17.4501,0.0473,504.48,7.885e-16,0,native:blocked|native:blocked,7.688e-16,58,ok,0
getrs,double,128,32,1024,2.8602,2.8601,0.0004,375.41,1.000e-15,0,native:blocked|native:blocked,1.403e-15,124,ok,0
getrs,double,128,32,2048,5.7874,5.7909,0.0020,371.06,1.000e-15,0,native:blocked|native:blocked,1.768e-15,125,ok,0
getrs,double,128,32,4096,12.8387,12.8470,0.0016,334.53,9.997e-16,0,native:blocked|native:blocked,1.304e-15,124,ok,0
getrs,double,128,32,8192,27.2023,27.3265,0.0111,315.78,1.000e-15,0,native:blocked|native:blocked,1.200e-15,122,ok,0
getrs,double,128,64,1024,3.8954,3.8984,0.0032,551.29,1.000e-15,0,native:blocked|native:blocked,1.403e-15,124,ok,0
getrs,double,128,64,2048,9.0839,9.0909,0.0020,472.81,1.117e-15,0,native:blocked|native:blocked,1.768e-15,125,ok,0
getrs,double,128,64,4096,20.5233,21.3840,0.0805,418.55,8.891e-16,0,native:blocked|native:blocked,1.304e-15,124,ok,0
getrs,double,128,64,8192,43.2263,42.4437,0.0425,397.44,1.000e-15,0,native:blocked|native:blocked,1.200e-15,122,ok,0
getrs,double,128,128,1024,7.2785,7.3891,0.0480,590.09,1.000e-15,0,native:blocked|native:blocked,1.403e-15,124,ok,0
getrs,double,128,128,2048,16.3223,16.3186,0.0008,526.27,1.000e-15,0,native:blocked|native:blocked,1.768e-15,125,ok,0
getrs,double,128,128,4096,33.0847,33.0753,0.0009,519.27,9.211e-16,0,native:blocked|native:blocked,1.304e-15,124,ok,0
getrs,double,128,128,8192,72.1397,71.2740,0.0329,476.29,1.358e-15,0,native:blocked|native:blocked,1.200e-15,122,ok,0
getrs,double,256,32,1024,7.4960,7.7234,0.0413,572.97,1.445e-15,0,native:blocked|native:blocked,1.858e-15,249,ok,0
getrs,double,256,32,2048,15.9391,15.9405,0.0005,538.92,1.443e-15,0,native:blocked|native:blocked,1.855e-15,250,ok,0
getrs,double,256,32,4096,37.7870,37.8229,0.0137,454.65,1.337e-15,0,native:blocked|native:blocked,1.956e-15,245,ok,0
getrs,double,256,32,8192,76.1080,76.6903,0.0178,451.46,1.445e-15,0,native:blocked|native:blocked,2.042e-15,251,ok,0
getrs,double,256,64,1024,12.7623,12.7815,0.0358,673.07,1.445e-15,0,native:blocked|native:blocked,1.858e-15,249,ok,0
getrs,double,256,64,2048,27.4769,27.7940,0.0281,625.25,1.334e-15,0,native:blocked|native:blocked,1.855e-15,250,ok,0
getrs,double,256,64,4096,62.3310,66.7387,0.1177,551.25,1.334e-15,0,native:blocked|native:blocked,1.956e-15,245,ok,0
getrs,double,256,64,8192,116.3528,119.0544,0.0375,590.61,1.556e-15,0,native:blocked|native:blocked,2.042e-15,251,ok,0
getrs,double,256,128,1024,23.2687,23.6419,0.0500,738.33,1.445e-15,0,native:blocked|native:blocked,1.858e-15,249,ok,0
getrs,double,256,128,2048,53.9642,53.6521,0.0400,636.71,1.334e-15,0,native:blocked|native:blocked,1.855e-15,250,ok,0
getrs,double,256,128,4096,107.5188,107.3142,0.0472,639.14,1.456e-15,0,native:blocked|native:blocked,1.956e-15,245,ok,0
getrs,double,256,128,8192,203.7956,204.5906,0.0060,674.40,1.445e-15,0,native:blocked|native:blocked,2.042e-15,251,ok,0
getrs,double,512,32,1024,22.6563,22.6637,0.0008,758.28,2.003e-15,0,native:blocked|native:blocked,3.290e-15,504,ok,0
getrs,double,512,32,2048,47.8713,48.0712,0.0120,717.75,1.778e-15,0,native:blocked|native:blocked,3.050e-15,504,ok,0
getrs,double,512,64,1024,43.3905,43.0252,0.0336,791.87,1.999e-15,0,native:blocked|native:blocked,3.290e-15,504,ok,0
getrs,double,512,64,2048,91.1278,91.0871,0.0040,754.10,1.778e-15,0,native:blocked|native:blocked,3.050e-15,504,ok,0
getrs,double,512,128,1024,75.9032,75.9006,0.0002,905.36,2.008e-15,0,native:blocked|native:blocked,3.290e-15,504,ok,0
getrs,double,512,128,2048,170.5128,170.5090,0.0132,806.03,2.008e-15,0,native:blocked|native:blocked,3.050e-15,504,ok,0
getrs,cfloat,64,32,1024,0.7020,0.7020,0.0006,382.38,4.315e-07,0,native:cta|native:blocked,3.790e-07,60,ok,0
getrs,cfloat,64,32,2048,1.3631,1.3644,0.0031,393.86,6.392e-07,0,native:cta|native:blocked,2.786e-07,55,ok,0
