op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,64,32,1024,0.2704,0.2713,0.0094,992.77,2.145e-07,0,vendor:auto|vendor:auto,1.833e-07,60,ok,0
getrs,float,64,32,2048,0.4748,0.4751,0.0028,1130.67,2.194e-07,0,vendor:auto|vendor:auto,1.833e-07,55,ok,0
getrs,float,64,32,4096,0.9499,0.9499,0.0017,1130.42,2.830e-07,0,vendor:auto|vendor:auto,1.944e-07,60,ok,0
getrs,float,64,32,8192,2.7492,2.7545,0.0098,781.13,3.360e-07,0,vendor:auto|vendor:auto,1.905e-07,58,ok,0
getrs,float,64,64,1024,0.5185,0.5188,0.0010,1035.45,2.274e-07,0,vendor:auto|vendor:auto,1.833e-07,60,ok,0
getrs,float,64,64,2048,0.9275,0.9275,0.0015,1157.69,2.194e-07,0,vendor:auto|vendor:auto,1.833e-07,55,ok,0
getrs,float,64,64,4096,2.7405,2.9091,0.0836,783.60,2.978e-07,0,vendor:auto|vendor:auto,1.944e-07,60,ok,0
getrs,float,64,64,8192,8.4133,8.4347,0.0124,510.50,2.655e-07,0,vendor:auto|vendor:auto,1.905e-07,58,ok,0
getrs,float,64,128,1024,1.0111,1.0112,0.0011,1061.98,2.496e-07,0,vendor:auto|vendor:auto,1.833e-07,60,ok,0
getrs,float,64,128,2048,2.6527,2.6589,0.0067,809.55,2.810e-07,0,vendor:auto|vendor:auto,1.833e-07,55,ok,0
getrs,float,64,128,4096,8.0042,8.0271,0.0104,536.59,3.192e-07,0,vendor:auto|vendor:auto,1.944e-07,60,ok,0
getrs,float,64,128,8192,20.0753,20.5166,0.0610,427.89,2.655e-07,0,vendor:auto|vendor:auto,1.905e-07,58,ok,0
getrs,float,128,32,1024,0.6607,0.6615,0.0024,1625.07,3.459e-07,0,vendor:auto|vendor:auto,2.242e-07,124,ok,0
getrs,float,128,32,2048,1.2165,1.2282,0.0328,1765.28,3.795e-07,0,vendor:auto|vendor:auto,3.114e-07,125,ok,0
getrs,float,128,32,4096,2.6258,2.7402,0.0602,1635.67,4.970e-07,0,vendor:auto|vendor:auto,2.564e-07,124,ok,0
getrs,float,128,32,8192,9.7867,9.8330,0.0286,877.71,3.209e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,64,1024,1.1754,1.2102,0.0645,1827.05,2.572e-07,0,vendor:auto|vendor:auto,2.242e-07,124,ok,0
getrs,float,128,64,2048,2.3510,2.4721,0.0790,1826.84,3.146e-07,0,vendor:auto|vendor:auto,3.114e-07,125,ok,0
getrs,float,128,64,4096,8.8119,9.0201,0.0373,974.81,4.970e-07,0,vendor:auto|vendor:auto,2.564e-07,124,ok,0
getrs,float,128,64,8192,23.5056,23.5217,0.0040,730.88,3.029e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,128,1024,2.5407,2.5397,0.0017,1690.44,2.833e-07,0,vendor:auto|vendor:auto,2.242e-07,124,ok,0
getrs,float,128,128,2048,8.7798,8.9891,0.0688,978.38,3.146e-07,0,vendor:auto|vendor:auto,3.114e-07,125,ok,0
getrs,float,128,128,4096,24.6759,24.6179,0.0112,696.22,4.970e-07,0,vendor:auto|vendor:auto,2.564e-07,124,ok,0
getrs,float,128,128,8192,54.4304,53.8592,0.0272,631.26,3.901e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,256,32,1024,1.6783,1.7018,0.0468,2559.19,3.857e-07,0,vendor:auto|vendor:auto,3.225e-07,249,ok,0
getrs,float,256,32,2048,3.4409,3.5071,0.0405,2496.39,3.767e-07,0,vendor:auto|vendor:auto,3.395e-07,250,ok,0
getrs,float,256,32,4096,9.8599,9.8848,0.0048,1742.40,4.160e-07,0,vendor:auto|vendor:auto,2.589e-07,245,ok,0
getrs,float,256,32,8192,34.2115,34.2049,0.0010,1004.33,3.708e-07,0,vendor:auto|vendor:auto,2.588e-07,251,ok,0
getrs,float,256,64,1024,3.2399,3.2402,0.0014,2651.30,3.857e-07,0,vendor:auto|vendor:auto,3.225e-07,249,ok,0
getrs,float,256,64,2048,9.0591,9.1212,0.0204,1896.41,3.767e-07,0,vendor:auto|vendor:auto,3.395e-07,250,ok,0
getrs,float,256,64,4096,32.4503,32.5037,0.0055,1058.84,4.160e-07,0,vendor:auto|vendor:auto,2.589e-07,245,ok,0
getrs,float,256,64,8192,85.4702,87.8304,0.0359,804.02,3.531e-07,0,vendor:auto|vendor:auto,2.588e-07,251,ok,0
getrs,float,256,128,1024,9.0894,9.1516,0.0149,1890.11,4.001e-07,0,vendor:auto|vendor:auto,3.225e-07,249,ok,0
getrs,float,256,128,2048,33.6259,33.2152,0.0297,1021.82,3.767e-07,0,vendor:auto|vendor:auto,3.395e-07,250,ok,0
getrs,float,256,128,4096,82.5734,81.6831,0.0271,832.22,4.288e-07,0,vendor:auto|vendor:auto,2.589e-07,245,ok,0
getrs,float,256,128,8192,185.3385,182.2134,0.0276,741.56,3.531e-07,0,vendor:auto|vendor:auto,2.588e-07,251,ok,0
getrs,float,512,32,1024,4.9090,4.9856,0.0750,3499.66,5.314e-07,0,vendor:auto|vendor:auto,5.355e-07,504,ok,0
getrs,float,512,32,2048,11.7389,11.7934,0.0341,2926.99,5.041e-07,0,vendor:auto|vendor:auto,4.287e-07,504,ok,0
getrs,float,512,32,4096,31.3872,31.4742,0.0267,2189.41,4.981e-07,0,vendor:auto|vendor:auto,3.907e-07,505,ok,0
getrs,float,512,64,1024,9.8058,10.0538,0.0408,3504.02,4.710e-07,0,vendor:auto|vendor:auto,5.355e-07,504,ok,0
getrs,float,512,64,2048,26.8789,26.8174,0.0292,2556.64,5.594e-07,0,vendor:auto|vendor:auto,4.287e-07,504,ok,0
getrs,float,512,64,4096,83.5681,82.1838,0.0332,1644.64,5.130e-07,0,vendor:auto|vendor:auto,3.907e-07,505,ok,0
getrs,float,512,128,1024,25.3903,25.3883,0.0011,2706.52,4.710e-07,0,vendor:auto|vendor:auto,5.355e-07,504,ok,0
getrs,float,512,128,2048,76.6677,79.1376,0.0434,1792.66,5.041e-07,0,vendor:auto|vendor:auto,4.287e-07,504,ok,0
getrs,float,512,128,4096,183.3736,186.2554,0.0338,1499.00,4.363e-07,0,vendor:auto|vendor:auto,3.907e-07,505,ok,0
getrs,double,64,32,1024,0.6362,0.6479,0.0532,421.95,5.632e-16,0,vendor:auto|vendor:auto,8.621e-16,60,ok,0
getrs,double,64,32,2048,1.2140,1.2343,0.0529,442.25,5.632e-16,0,vendor:auto|vendor:auto,8.627e-16,55,ok,0
getrs,double,64,32,4096,2.6161,2.6913,0.0545,410.43,5.632e-16,0,vendor:auto|vendor:auto,7.836e-16,60,ok,0
getrs,double,64,32,8192,7.0246,7.1528,0.0333,305.71,6.758e-16,0,vendor:auto|vendor:auto,7.688e-16,58,ok,0
getrs,double,64,64,1024,1.2527,1.2743,0.0530,428.55,5.632e-16,0,vendor:auto|vendor:auto,8.621e-16,60,ok,0
getrs,double,64,64,2048,2.6382,2.6394,0.0037,407.00,6.912e-16,0,vendor:auto|vendor:auto,8.627e-16,55,ok,0
getrs,double,64,64,4096,7.0659,7.0801,0.0051,303.92,6.665e-16,0,vendor:auto|vendor:auto,7.836e-16,60,ok,0
getrs,double,64,64,8192,18.2238,18.3820,0.0153,235.68,6.758e-16,0,vendor:auto|vendor:auto,7.688e-16,58,ok,0
getrs,double,64,128,1024,2.7076,2.8412,0.0861,396.56,7.882e-16,0,vendor:auto|vendor:auto,8.621e-16,60,ok,0
getrs,double,64,128,2048,7.5204,7.4119,0.0514,285.55,5.632e-16,0,vendor:auto|vendor:auto,8.627e-16,55,ok,0
getrs,double,64,128,4096,17.7854,17.6736,0.0262,241.49,8.007e-16,0,vendor:auto|vendor:auto,7.836e-16,60,ok,0
getrs,double,64,128,8192,36.9270,37.1566,0.0350,232.62,6.758e-16,0,vendor:auto|vendor:auto,7.688e-16,58,ok,0
getrs,double,128,32,1024,1.7452,1.7486,0.0040,615.26,1.000e-15,0,vendor:auto|vendor:auto,1.295e-15,124,ok,0
getrs,double,128,32,2048,3.5563,3.5560,0.0016,603.86,8.941e-16,0,vendor:auto|vendor:auto,1.658e-15,125,ok,0
getrs,double,128,32,4096,9.6774,9.3673,0.0558,443.82,9.997e-16,0,vendor:auto|vendor:auto,1.304e-15,124,ok,0
getrs,double,128,32,8192,24.1106,24.8191,0.0545,356.27,6.689e-16,0,vendor:auto|vendor:auto,1.091e-15,122,ok,0
getrs,double,128,64,1024,3.6979,3.6978,0.0005,580.73,1.000e-15,0,vendor:auto|vendor:auto,1.295e-15,124,ok,0
getrs,double,128,64,2048,8.5794,8.5893,0.0036,500.62,1.229e-15,0,vendor:auto|vendor:auto,1.658e-15,125,ok,0
getrs,double,128,64,4096,26.1843,26.1594,0.0111,328.06,9.151e-16,0,vendor:auto|vendor:auto,1.304e-15,124,ok,0
getrs,double,128,64,8192,57.4160,58.5587,0.0377,299.22,7.775e-16,0,vendor:auto|vendor:auto,1.091e-15,122,ok,0
getrs,double,128,128,1024,8.9092,8.9115,0.0013,482.08,1.116e-15,0,vendor:auto|vendor:auto,1.295e-15,124,ok,0
getrs,double,128,128,2048,25.8417,25.9177,0.0177,332.41,8.967e-16,0,vendor:auto|vendor:auto,1.658e-15,125,ok,0
getrs,double,128,128,4096,54.9084,54.9381,0.0013,312.88,9.211e-16,0,vendor:auto|vendor:auto,1.304e-15,124,ok,0
getrs,double,128,128,8192,117.8202,119.3719,0.0278,291.63,1.245e-15,0,vendor:auto|vendor:auto,1.091e-15,122,ok,0
getrs,double,256,32,1024,5.9323,5.8852,0.0421,724.00,1.556e-15,0,vendor:auto|vendor:auto,1.858e-15,249,ok,0
getrs,double,256,32,2048,11.9372,11.9430,0.0019,719.60,1.888e-15,0,vendor:auto|vendor:auto,1.855e-15,250,ok,0
getrs,double,256,32,4096,26.7468,26.7414,0.0013,642.32,1.667e-15,0,vendor:auto|vendor:auto,2.064e-15,245,ok,0
getrs,double,256,32,8192,66.7880,66.7822,0.0006,514.46,1.445e-15,0,vendor:auto|vendor:auto,1.934e-15,251,ok,0
getrs,double,256,64,1024,13.1901,13.2252,0.0161,651.24,1.558e-15,0,vendor:auto|vendor:auto,1.858e-15,249,ok,0
getrs,double,256,64,2048,27.1115,27.3115,0.0161,633.67,1.451e-15,0,vendor:auto|vendor:auto,1.855e-15,250,ok,0
getrs,double,256,64,4096,68.2744,69.1434,0.0337,503.26,1.667e-15,0,vendor:auto|vendor:auto,2.064e-15,245,ok,0
getrs,double,256,64,8192,151.1979,155.0742,0.0379,454.50,1.445e-15,0,vendor:auto|vendor:auto,1.934e-15,251,ok,0
getrs,double,256,128,1024,29.8211,29.7755,0.0112,576.10,1.888e-15,0,vendor:auto|vendor:auto,1.858e-15,249,ok,0
getrs,double,256,128,2048,67.2936,67.9662,0.0152,510.59,1.445e-15,0,vendor:auto|vendor:auto,1.855e-15,250,ok,0
getrs,double,256,128,4096,145.9673,146.0527,0.0023,470.79,1.667e-15,0,vendor:auto|vendor:auto,2.064e-15,245,ok,0
getrs,double,256,128,8192,305.9182,308.2749,0.0255,449.27,1.445e-15,0,vendor:auto|vendor:auto,1.934e-15,251,ok,0
getrs,double,512,32,1024,20.8268,20.6373,0.0284,824.89,2.003e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,double,512,32,2048,43.4936,43.5565,0.0147,789.99,2.111e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,double,512,64,1024,41.9171,41.8475,0.0133,819.71,1.888e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,double,512,64,2048,88.1643,88.3933,0.0072,779.45,1.889e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,double,512,128,1024,92.6952,92.6678,0.0066,741.35,1.896e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,double,512,128,2048,202.9307,200.3727,0.0280,677.27,2.231e-15,0,vendor:auto|vendor:auto,3.159e-15,504,ok,0
getrs,cfloat,64,32,1024,0.2975,0.2971,0.0051,902.36,2.767e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,32,2048,0.5325,0.5327,0.0016,1008.29,3.552e-07,0,vendor:auto|vendor:auto,3.209e-07,55,ok,0
getrs,cfloat,64,32,4096,1.2211,1.2266,0.0128,879.35,3.335e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,32,8192,4.4227,4.4170,0.0073,485.56,2.711e-07,0,vendor:auto|vendor:auto,3.209e-07,58,ok,0
getrs,cfloat,64,64,1024,0.5567,0.5577,0.0045,964.34,2.767e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,64,2048,1.1578,1.1674,0.0269,927.37,3.442e-07,0,vendor:auto|vendor:auto,3.209e-07,55,ok,0
getrs,cfloat,64,64,4096,4.3010,4.3129,0.0054,499.30,2.719e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,64,8192,11.4977,11.7648,0.0477,373.55,3.068e-07,0,vendor:auto|vendor:auto,3.209e-07,58,ok,0
getrs,cfloat,64,128,1024,1.3124,1.3116,0.0017,818.17,2.767e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,128,2048,4.1246,4.1310,0.0058,520.65,5.150e-07,0,vendor:auto|vendor:auto,3.209e-07,55,ok,0
getrs,cfloat,64,128,4096,11.9664,11.9878,0.0110,358.92,2.790e-07,0,vendor:auto|vendor:auto,3.209e-07,60,ok,0
getrs,cfloat,64,128,8192,23.8783,23.9811,0.0144,359.74,3.474e-07,0,vendor:auto|vendor:auto,3.209e-07,58,ok,0
getrs,cfloat,128,32,1024,0.8017,0.8437,0.1122,1339.30,5.145e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,32,2048,1.7426,1.8841,0.1030,1232.35,2.734e-07,0,vendor:auto|vendor:auto,3.720e-07,125,ok,0
getrs,cfloat,128,32,4096,5.2905,5.2888,0.0010,811.82,2.849e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,32,8192,17.1998,17.2943,0.0123,499.42,3.467e-07,0,vendor:auto|vendor:auto,3.720e-07,122,ok,0
getrs,cfloat,128,64,1024,1.7541,1.8369,0.1420,1224.30,5.145e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,64,2048,5.2511,5.2908,0.0697,817.92,2.710e-07,0,vendor:auto|vendor:auto,3.720e-07,125,ok,0
getrs,cfloat,128,64,4096,18.0054,18.0160,0.0075,477.08,2.849e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,64,8192,46.3960,46.4374,0.0048,370.29,3.467e-07,0,vendor:auto|vendor:auto,3.720e-07,122,ok,0
getrs,cfloat,128,128,1024,5.7959,5.7997,0.0549,741.03,5.145e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,128,2048,18.0016,18.0248,0.0177,477.18,3.047e-07,0,vendor:auto|vendor:auto,3.720e-07,125,ok,0
getrs,cfloat,128,128,4096,42.7245,42.8940,0.0105,402.11,3.282e-07,0,vendor:auto|vendor:auto,3.720e-07,124,ok,0
getrs,cfloat,128,128,8192,86.5615,86.6017,0.0015,396.94,3.467e-07,0,vendor:auto|vendor:auto,3.720e-07,122,ok,0
getrs,cfloat,256,32,1024,2.4966,2.4964,0.0029,1720.31,5.071e-07,0,vendor:auto|vendor:auto,3.696e-07,249,ok,0
