op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,64,16,32,0.1394,0.1395,0.0047,30.09,4.412e-07,0,native:cta|native:blocked,3.733e-07,58,ok,0
getrs,float,64,16,128,0.1399,0.1398,0.0017,119.93,4.384e-07,0,native:cta|native:blocked,3.228e-07,57,ok,0
getrs,float,64,16,256,0.1425,0.1424,0.0011,235.53,4.720e-07,0,native:cta|native:blocked,5.155e-07,59,ok,0
getrs,float,64,16,512,0.1775,0.1776,0.0014,378.11,4.864e-07,0,native:cta|native:blocked,3.228e-07,59,ok,0
getrs,float,64,32,32,0.1480,0.1481,0.0020,56.69,4.412e-07,0,native:cta|native:blocked,3.733e-07,58,ok,0
getrs,float,64,32,128,0.1507,0.1507,0.0021,222.61,4.384e-07,0,native:cta|native:blocked,3.228e-07,57,ok,0
getrs,float,64,32,256,0.1603,0.1603,0.0016,418.69,3.704e-07,0,native:cta|native:blocked,5.155e-07,59,ok,0
getrs,float,64,32,512,0.1950,0.1951,0.0015,688.27,4.864e-07,0,native:cta|native:blocked,3.228e-07,59,ok,0
getrs,float,64,64,32,0.1462,0.1463,0.0019,114.74,4.412e-07,0,native:cta|native:blocked,3.733e-07,58,ok,0
getrs,float,64,64,128,0.1503,0.1503,0.0012,446.45,4.384e-07,0,native:cta|native:blocked,3.228e-07,57,ok,0
getrs,float,64,64,256,0.1591,0.1591,0.0019,843.58,3.832e-07,0,native:cta|native:blocked,5.155e-07,59,ok,0
getrs,float,64,64,512,0.2344,0.2345,0.0025,1145.18,4.864e-07,0,native:cta|native:blocked,3.228e-07,59,ok,0
getrs,float,64,128,32,0.1482,0.1483,0.0022,226.37,4.412e-07,0,native:cta|native:blocked,3.733e-07,58,ok,0
getrs,float,64,128,128,0.1588,0.1586,0.0020,845.40,4.384e-07,0,native:cta|native:blocked,3.228e-07,57,ok,0
getrs,float,64,128,256,0.2031,0.2034,0.0039,1321.77,3.590e-07,0,native:cta|native:blocked,5.155e-07,59,ok,0
getrs,float,64,128,512,0.3610,0.3612,0.0015,1487.24,4.864e-07,0,native:cta|native:blocked,3.228e-07,59,ok,0
getrs,float,128,16,32,0.2845,0.2845,0.0011,58.98,8.113e-07,0,native:cta|native:blocked,5.523e-07,125,ok,0
getrs,float,128,16,128,0.2905,0.2906,0.0009,231.01,9.996e-07,0,native:cta|native:blocked,7.568e-07,122,ok,0
getrs,float,128,16,256,0.3047,0.3048,0.0022,440.46,8.091e-07,0,native:cta|native:blocked,6.818e-07,119,ok,0
getrs,float,128,16,512,0.3904,0.3904,0.0012,687.64,6.639e-07,0,native:cta|native:blocked,5.169e-07,116,ok,0
getrs,float,128,32,32,0.3146,0.3144,0.0013,106.67,8.113e-07,0,native:cta|native:blocked,5.523e-07,125,ok,0
getrs,float,128,32,128,0.3225,0.3225,0.0023,416.12,7.103e-07,0,native:cta|native:blocked,7.568e-07,122,ok,0
getrs,float,128,32,256,0.3375,0.3375,0.0010,795.46,8.091e-07,0,native:cta|native:blocked,6.818e-07,119,ok,0
getrs,float,128,32,512,0.4117,0.4117,0.0006,1304.01,6.639e-07,0,native:cta|native:blocked,5.169e-07,116,ok,0
getrs,float,128,64,32,0.3145,0.3146,0.0010,213.39,8.113e-07,0,native:cta|native:blocked,5.523e-07,125,ok,0
getrs,float,128,64,128,0.3283,0.3283,0.0006,817.69,7.492e-07,0,native:cta|native:blocked,7.568e-07,122,ok,0
getrs,float,128,64,256,0.3565,0.3565,0.0007,1505.92,8.091e-07,0,native:cta|native:blocked,6.818e-07,119,ok,0
getrs,float,128,64,512,0.5603,0.5604,0.0012,1916.39,6.863e-07,0,native:cta|native:blocked,5.169e-07,116,ok,0
getrs,float,128,128,32,0.3187,0.3186,0.0009,421.21,8.113e-07,0,native:cta|native:blocked,5.523e-07,125,ok,0
getrs,float,128,128,128,0.3582,0.3584,0.0019,1498.93,7.557e-07,0,native:cta|native:blocked,7.568e-07,122,ok,0
getrs,float,128,128,256,0.4862,0.4861,0.0010,2208.60,8.091e-07,0,native:cta|native:blocked,6.818e-07,119,ok,0
getrs,float,128,128,512,0.8994,0.8991,0.0011,2387.73,8.664e-07,0,native:cta|native:blocked,5.169e-07,116,ok,0
getrs,float,256,16,32,0.5907,0.5908,0.0006,113.61,3.299e-07,0,native:blocked|native:blocked,3.504e-07,252,ok,0
getrs,float,256,16,128,0.6286,0.6287,0.0006,427.03,4.156e-07,0,native:blocked|native:blocked,3.078e-07,246,ok,0
getrs,float,256,16,256,0.7468,0.7475,0.0026,718.90,4.926e-07,0,native:blocked|native:blocked,3.078e-07,251,ok,0
getrs,float,256,16,512,1.0279,1.0282,0.0008,1044.59,4.165e-07,0,native:blocked|native:blocked,3.763e-07,251,ok,0
getrs,float,256,32,32,0.6662,0.6711,0.0194,201.46,4.158e-07,0,native:blocked|native:blocked,3.504e-07,252,ok,0
getrs,float,256,32,128,0.6806,0.6809,0.0008,788.88,4.365e-07,0,native:blocked|native:blocked,3.078e-07,246,ok,0
getrs,float,256,32,256,0.7889,0.7893,0.0011,1361.11,3.817e-07,0,native:blocked|native:blocked,3.078e-07,251,ok,0
getrs,float,256,32,512,1.0341,1.0342,0.0011,2076.66,4.556e-07,0,native:blocked|native:blocked,3.763e-07,251,ok,0
getrs,float,256,64,32,0.6636,0.6638,0.0009,404.52,3.997e-07,0,native:blocked|native:blocked,3.504e-07,252,ok,0
getrs,float,256,64,128,0.7253,0.7254,0.0013,1480.44,4.156e-07,0,native:blocked|native:blocked,3.078e-07,246,ok,0
getrs,float,256,64,256,0.8440,0.8440,0.0012,2544.50,3.911e-07,0,native:blocked|native:blocked,3.078e-07,251,ok,0
getrs,float,256,64,512,1.3605,1.3612,0.0024,3156.80,4.259e-07,0,native:blocked|native:blocked,3.763e-07,251,ok,0
getrs,float,256,128,32,0.6742,0.6745,0.0009,796.27,3.663e-07,0,native:blocked|native:blocked,3.504e-07,252,ok,0
getrs,float,256,128,128,0.7655,0.7657,0.0010,2805.51,4.156e-07,0,native:blocked|native:blocked,3.078e-07,246,ok,0
getrs,float,256,128,256,1.1436,1.1421,0.0043,3755.50,4.595e-07,0,native:blocked|native:blocked,3.078e-07,251,ok,0
getrs,float,256,128,512,2.4290,2.4359,0.0085,3536.43,4.165e-07,0,native:blocked|native:blocked,3.763e-07,251,ok,0
getrs,float,512,16,32,1.2364,1.2362,0.0007,217.12,3.302e-07,0,native:blocked|native:blocked,4.278e-07,504,ok,0
getrs,float,512,16,128,1.5763,1.5770,0.0009,681.17,5.194e-07,0,native:blocked|native:blocked,3.750e-07,503,ok,0
getrs,float,512,16,256,1.8563,1.8572,0.0013,1156.87,5.610e-07,0,native:blocked|native:blocked,5.192e-07,504,ok,0
getrs,float,512,16,512,2.6899,2.6901,0.0006,1596.69,4.565e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,32,32,1.4283,1.4283,0.0003,375.89,3.263e-07,0,native:blocked|native:blocked,4.278e-07,504,ok,0
getrs,float,512,32,128,1.6249,1.6256,0.0012,1321.60,5.194e-07,0,native:blocked|native:blocked,3.750e-07,503,ok,0
getrs,float,512,32,256,1.8593,1.8595,0.0012,2310.04,4.127e-07,0,native:blocked|native:blocked,5.192e-07,504,ok,0
getrs,float,512,32,512,2.5260,2.5298,0.0024,3400.61,4.919e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,64,32,1.4235,1.4235,0.0003,754.32,4.907e-07,0,native:blocked|native:blocked,4.278e-07,504,ok,0
getrs,float,512,64,128,1.6893,1.6896,0.0005,2542.43,5.194e-07,0,native:blocked|native:blocked,3.750e-07,503,ok,0
getrs,float,512,64,256,2.0065,2.0057,0.0009,4281.16,4.879e-07,0,native:blocked|native:blocked,5.192e-07,504,ok,0
getrs,float,512,64,512,3.4711,3.4797,0.0056,4949.47,6.087e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,512,128,32,1.4648,1.4648,0.0006,1466.07,4.144e-07,0,native:blocked|native:blocked,4.278e-07,504,ok,0
getrs,float,512,128,128,1.7853,1.7854,0.0010,4811.43,5.194e-07,0,native:blocked|native:blocked,3.750e-07,503,ok,0
getrs,float,512,128,256,3.0169,3.0231,0.0065,5694.63,4.326e-07,0,native:blocked|native:blocked,5.192e-07,504,ok,0
getrs,float,512,128,512,8.3118,8.3558,0.0071,4133.87,5.477e-07,0,native:blocked|native:blocked,3.750e-07,505,ok,0
getrs,float,1024,16,32,2.9560,2.9559,0.0005,363.25,5.810e-07,0,native:blocked|native:blocked,6.903e-07,1012,ok,0
getrs,float,1024,16,128,3.9130,3.9132,0.0006,1097.63,5.630e-07,0,native:blocked|native:blocked,6.903e-07,1019,ok,0
getrs,float,1024,16,256,5.0356,5.0356,0.0009,1705.85,5.963e-07,0,native:blocked|native:blocked,6.903e-07,1014,ok,0
getrs,float,1024,16,512,7.9458,7.9461,0.0004,2162.12,5.388e-07,0,native:blocked|native:blocked,6.903e-07,1015,ok,0
getrs,float,1024,32,32,3.5518,3.5523,0.0006,604.61,5.810e-07,0,native:blocked|native:blocked,6.903e-07,1012,ok,0
getrs,float,1024,32,128,3.7872,3.7878,0.0010,2268.14,6.273e-07,0,native:blocked|native:blocked,6.903e-07,1019,ok,0
getrs,float,1024,32,256,4.5912,4.5931,0.0011,3741.87,5.723e-07,0,native:blocked|native:blocked,6.903e-07,1014,ok,0
