op,type,n,nrhs,batch,med_ms,mean_ms,relsd,GFLOPs,resid,ws,route,extra,ntpiv,flag,foreign
getrs,float,64,16,32,0.1093,0.1092,0.0021,38.38,2.876e-07,0,vendor:auto|vendor:auto,1.833e-07,58,ok,0
getrs,float,64,16,128,0.1126,0.1127,0.0032,149.00,2.994e-07,0,vendor:auto|vendor:auto,1.833e-07,57,ok,0
getrs,float,64,16,256,0.1127,0.1127,0.0020,297.72,3.573e-07,0,vendor:auto|vendor:auto,2.848e-07,59,ok,0
getrs,float,64,16,512,0.1208,0.1208,0.0024,555.62,3.113e-07,0,vendor:auto|vendor:auto,1.833e-07,59,ok,0
getrs,float,64,32,32,0.1772,0.1773,0.0023,47.33,2.876e-07,0,vendor:auto|vendor:auto,1.833e-07,58,ok,0
getrs,float,64,32,128,0.1778,0.1778,0.0008,188.69,2.994e-07,0,vendor:auto|vendor:auto,1.833e-07,57,ok,0
getrs,float,64,32,256,0.1856,0.1855,0.0018,361.61,2.271e-07,0,vendor:auto|vendor:auto,2.848e-07,59,ok,0
getrs,float,64,32,512,0.2136,0.2140,0.0058,628.23,2.287e-07,0,vendor:auto|vendor:auto,1.833e-07,59,ok,0
getrs,float,64,64,32,0.3135,0.3134,0.0014,53.52,2.876e-07,0,vendor:auto|vendor:auto,1.833e-07,58,ok,0
getrs,float,64,64,128,0.3233,0.3232,0.0015,207.61,2.994e-07,0,vendor:auto|vendor:auto,1.833e-07,57,ok,0
getrs,float,64,64,256,0.3529,0.3534,0.0038,380.34,3.742e-07,0,vendor:auto|vendor:auto,2.848e-07,59,ok,0
getrs,float,64,64,512,0.4061,0.4062,0.0012,660.96,2.287e-07,0,vendor:auto|vendor:auto,1.833e-07,59,ok,0
getrs,float,64,128,32,0.5837,0.5837,0.0018,57.48,2.876e-07,0,vendor:auto|vendor:auto,1.833e-07,58,ok,0
getrs,float,64,128,128,0.6281,0.6373,0.0387,213.67,2.994e-07,0,vendor:auto|vendor:auto,1.833e-07,57,ok,0
getrs,float,64,128,256,0.6734,0.6733,0.0012,398.63,3.437e-07,0,vendor:auto|vendor:auto,2.848e-07,59,ok,0
getrs,float,64,128,512,0.7888,0.7884,0.0016,680.64,3.097e-07,0,vendor:auto|vendor:auto,1.833e-07,59,ok,0
getrs,float,128,16,32,0.2198,0.2215,0.0222,76.33,2.645e-07,0,vendor:auto|vendor:auto,3.072e-07,125,ok,0
getrs,float,128,16,128,0.2238,0.2238,0.0017,299.87,2.703e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,16,256,0.2286,0.2286,0.0016,587.25,3.328e-07,0,vendor:auto|vendor:auto,2.261e-07,119,ok,0
getrs,float,128,16,512,0.2518,0.2526,0.0063,1065.87,3.071e-07,0,vendor:auto|vendor:auto,2.361e-07,116,ok,0
getrs,float,128,32,32,0.3729,0.3730,0.0013,89.99,4.369e-07,0,vendor:auto|vendor:auto,3.072e-07,125,ok,0
getrs,float,128,32,128,0.3772,0.3776,0.0015,355.83,2.360e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,32,256,0.4056,0.4057,0.0012,661.78,3.325e-07,0,vendor:auto|vendor:auto,2.261e-07,119,ok,0
getrs,float,128,32,512,0.4839,0.4839,0.0013,1109.46,2.938e-07,0,vendor:auto|vendor:auto,2.361e-07,116,ok,0
getrs,float,128,64,32,0.6585,0.6589,0.0015,101.91,2.983e-07,0,vendor:auto|vendor:auto,3.072e-07,125,ok,0
getrs,float,128,64,128,0.6803,0.6804,0.0009,394.57,3.315e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,64,256,0.7464,0.7460,0.0011,719.30,3.325e-07,0,vendor:auto|vendor:auto,2.261e-07,119,ok,0
getrs,float,128,64,512,0.8864,0.8861,0.0009,1211.36,3.726e-07,0,vendor:auto|vendor:auto,2.361e-07,116,ok,0
getrs,float,128,128,32,1.2236,1.2233,0.0018,109.69,4.203e-07,0,vendor:auto|vendor:auto,3.072e-07,125,ok,0
getrs,float,128,128,128,1.3054,1.3048,0.0011,411.28,2.466e-07,0,vendor:auto|vendor:auto,2.242e-07,122,ok,0
getrs,float,128,128,256,1.4307,1.4311,0.0019,750.52,3.325e-07,0,vendor:auto|vendor:auto,2.261e-07,119,ok,0
getrs,float,128,128,512,1.6953,1.6958,0.0020,1266.76,2.938e-07,0,vendor:auto|vendor:auto,2.361e-07,116,ok,0
getrs,float,256,16,32,0.4488,0.4491,0.0014,149.52,4.152e-07,0,vendor:auto|vendor:auto,4.456e-07,252,ok,0
getrs,float,256,16,128,0.4695,0.4699,0.0020,571.75,4.536e-07,0,vendor:auto|vendor:auto,3.046e-07,246,ok,0
getrs,float,256,16,256,0.5342,0.5343,0.0010,1004.95,4.592e-07,0,vendor:auto|vendor:auto,2.661e-07,251,ok,0
getrs,float,256,16,512,0.7128,0.7126,0.0015,1506.47,4.791e-07,0,vendor:auto|vendor:auto,3.521e-07,251,ok,0
getrs,float,256,32,32,0.7828,0.7831,0.0009,171.46,4.152e-07,0,vendor:auto|vendor:auto,4.456e-07,252,ok,0
getrs,float,256,32,128,0.7885,0.7884,0.0008,680.91,4.531e-07,0,vendor:auto|vendor:auto,3.046e-07,246,ok,0
